Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
BBVACOL   ;01/04/2022 00:00:00;36.208,00;14.136.120,00;390,00;390,00;390,41;390,00;,00;,00
BBVACOL   ;04/04/2022 00:00:00;47.522,00;18.533.580,00;390,00;,00;390,00;,00;,00;,00
BBVACOL   ;05/04/2022 00:00:00;15.000,00;5.850.000,00;390,00;,00;390,00;,00;,00;,00
BBVACOL   ;06/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;07/04/2022 00:00:00;15.000,00;5.850.000,00;390,00;,00;390,00;,00;,00;,00
BBVACOL   ;08/04/2022 00:00:00;1.814.179,00;707.529.810,00;390,00;390,00;390,00;390,00;,00;,00
BBVACOL   ;11/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;12/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;13/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;18/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;19/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;20/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;21/04/2022 00:00:00;15.000,00;5.850.000,00;390,00;,00;390,00;,00;,00;,00
BBVACOL   ;22/04/2022 00:00:00;20.000,00;7.800.000,00;390,00;390,00;390,00;390,00;,00;,00
BBVACOL   ;25/04/2022 00:00:00;15.000,00;5.850.000,00;390,00;,00;390,00;,00;,00;,00
BBVACOL   ;26/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;27/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
BBVACOL   ;28/04/2022 00:00:00;30.000,00;11.700.000,00;390,00;390,00;390,00;390,00;,00;,00
BBVACOL   ;29/04/2022 00:00:00;,00;,00;390,00;,00;,00;,00;,00;,00
