Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
ECOPETROL ;01/04/2022 00:00:00;9.923.633,00;35.328.565.993,00;3.530,00;3.598,00;3.560,04;3.518,00;-,23;-8,00
ECOPETROL ;04/04/2022 00:00:00;4.047.837,00;14.261.061.819,00;3.534,00;3.568,00;3.523,13;3.495,00;,11;4,00
ECOPETROL ;05/04/2022 00:00:00;6.643.194,00;23.869.850.923,00;3.607,00;3.620,00;3.593,13;3.533,00;2,07;73,00
ECOPETROL ;06/04/2022 00:00:00;12.412.293,00;44.662.177.512,00;3.543,00;3.660,00;3.598,22;3.541,00;-1,77;-64,00
ECOPETROL ;07/04/2022 00:00:00;5.507.741,00;19.662.717.583,00;3.610,00;3.610,00;3.570,01;3.529,00;1,89;67,00
ECOPETROL ;08/04/2022 00:00:00;12.116.893,00;43.509.554.789,00;3.570,00;3.646,00;3.590,82;3.570,00;-1,11;-40,00
ECOPETROL ;11/04/2022 00:00:00;5.125.297,00;18.136.295.259,00;3.527,00;3.589,00;3.538,58;3.515,00;-1,20;-43,00
ECOPETROL ;12/04/2022 00:00:00;5.706.343,00;20.519.036.632,00;3.580,00;3.625,00;3.595,83;3.560,00;1,50;53,00
ECOPETROL ;13/04/2022 00:00:00;8.603.801,00;28.939.704.823,00;3.346,00;3.520,00;3.363,60;3.330,00;-6,54;-234,00
ECOPETROL ;18/04/2022 00:00:00;9.585.332,00;32.238.901.721,00;3.333,00;3.397,00;3.363,36;3.321,00;-,39;-13,00
ECOPETROL ;19/04/2022 00:00:00;9.382.755,00;31.364.296.657,00;3.349,00;3.359,00;3.342,76;3.303,00;,48;16,00
ECOPETROL ;20/04/2022 00:00:00;13.838.365,00;46.717.049.610,00;3.399,00;3.399,00;3.375,91;3.331,00;1,49;50,00
ECOPETROL ;21/04/2022 00:00:00;14.071.159,00;47.150.829.810,00;3.314,00;3.430,00;3.350,88;3.292,00;-2,50;-85,00
ECOPETROL ;22/04/2022 00:00:00;12.121.244,00;40.334.150.485,00;3.355,00;3.355,00;3.327,56;3.280,00;1,24;41,00
ECOPETROL ;25/04/2022 00:00:00;16.781.329,00;54.619.200.085,00;3.280,00;3.316,00;3.254,76;3.210,00;-2,24;-75,00
