Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
BCOLOMBIA ;03/01/2022 00:00:00;8.348,00;286.888.700,00;34.500,00;34.600,00;34.366,16;34.000,00;-,58;-200,00
BCOLOMBIA ;04/01/2022 00:00:00;34.987,00;1.213.127.450,00;34.840,00;34.840,00;34.673,66;34.490,00;,99;340,00
BCOLOMBIA ;05/01/2022 00:00:00;31.620,00;1.077.766.170,00;34.000,00;34.800,00;34.084,95;33.810,00;-2,41;-840,00
BCOLOMBIA ;06/01/2022 00:00:00;53.670,00;1.753.613.110,00;33.860,00;33.860,00;32.673,99;31.800,00;-,41;-140,00
BCOLOMBIA ;07/01/2022 00:00:00;25.317,00;859.411.320,00;34.200,00;34.200,00;33.946,02;33.500,00;1,00;340,00
BCOLOMBIA ;11/01/2022 00:00:00;133.625,00;4.596.842.210,00;34.800,00;34.800,00;34.401,06;33.310,00;1,75;600,00
BCOLOMBIA ;12/01/2022 00:00:00;288.535,00;10.119.847.850,00;35.380,00;35.380,00;35.073,21;34.850,00;1,67;580,00
BCOLOMBIA ;13/01/2022 00:00:00;494.868,00;18.131.926.650,00;37.600,00;37.880,00;36.639,93;35.300,00;6,27;2.220,00
BCOLOMBIA ;14/01/2022 00:00:00;950.324,00;34.637.176.050,00;36.480,00;37.400,00;36.447,75;36.000,00;-2,98;-1.120,00
BCOLOMBIA ;17/01/2022 00:00:00;930.247,00;35.711.061.560,00;38.310,00;38.810,00;38.388,80;37.000,00;5,02;1.830,00
BCOLOMBIA ;18/01/2022 00:00:00;1.765.915,00;73.215.352.210,00;42.050,00;42.500,00;41.460,29;38.600,00;9,76;3.740,00
BCOLOMBIA ;19/01/2022 00:00:00;1.032.037,00;43.069.935.040,00;42.200,00;42.820,00;41.732,94;41.030,00;,36;150,00
BCOLOMBIA ;20/01/2022 00:00:00;129.712,00;5.292.777.190,00;40.300,00;42.000,00;40.804,07;40.080,00;-4,50;-1.900,00
BCOLOMBIA ;21/01/2022 00:00:00;530.934,00;20.807.568.840,00;38.850,00;40.200,00;39.190,50;38.820,00;-3,60;-1.450,00
BCOLOMBIA ;24/01/2022 00:00:00;106.699,00;4.162.097.150,00;40.000,00;40.000,00;39.007,84;37.770,00;2,96;1.150,00
BCOLOMBIA ;25/01/2022 00:00:00;249.517,00;9.880.750.030,00;39.800,00;39.990,00;39.599,51;39.100,00;-,50;-200,00
BCOLOMBIA ;26/01/2022 00:00:00;72.982,00;2.875.634.310,00;39.000,00;40.490,00;39.401,97;39.000,00;-2,01;-800,00
BCOLOMBIA ;27/01/2022 00:00:00;75.387,00;2.952.294.980,00;39.100,00;39.500,00;39.161,86;38.900,00;,26;100,00
BCOLOMBIA ;28/01/2022 00:00:00;163.917,00;6.510.713.990,00;39.610,00;40.200,00;39.719,58;39.020,00;1,30;510,00
BCOLOMBIA ;31/01/2022 00:00:00;145.052,00;5.756.889.400,00;39.500,00;40.630,00;39.688,45;39.500,00;-,28;-110,00
BCOLOMBIA ;01/02/2022 00:00:00;163.990,00;6.462.587.600,00;39.010,00;40.190,00;39.408,42;38.800,00;-1,24;-490,00
BCOLOMBIA ;02/02/2022 00:00:00;373.651,00;14.608.801.350,00;39.200,00;39.470,00;39.097,45;38.900,00;,49;190,00
BCOLOMBIA ;03/02/2022 00:00:00;133.889,00;5.206.898.390,00;39.000,00;39.100,00;38.889,67;36.340,00;-,51;-200,00
BCOLOMBIA ;04/02/2022 00:00:00;145.497,00;5.676.433.080,00;38.990,00;39.220,00;39.014,09;38.850,00;-,03;-10,00
BCOLOMBIA ;07/02/2022 00:00:00;105.203,00;4.135.682.060,00;38.900,00;40.000,00;39.311,45;38.900,00;-,23;-90,00
BCOLOMBIA ;08/02/2022 00:00:00;89.717,00;3.422.173.270,00;37.830,00;39.110,00;38.144,09;37.780,00;-2,75;-1.070,00
BCOLOMBIA ;09/02/2022 00:00:00;82.708,00;3.133.303.360,00;37.970,00;38.250,00;37.883,92;37.500,00;,37;140,00
BCOLOMBIA ;10/02/2022 00:00:00;324.357,00;12.023.196.980,00;36.380,00;38.050,00;37.067,79;36.330,00;-4,19;-1.590,00
BCOLOMBIA ;11/02/2022 00:00:00;382.612,00;14.022.515.060,00;36.700,00;36.880,00;36.649,44;36.250,00;,88;320,00
BCOLOMBIA ;14/02/2022 00:00:00;273.689,00;10.262.832.110,00;37.500,00;37.690,00;37.498,15;36.010,00;2,18;800,00
BCOLOMBIA ;15/02/2022 00:00:00;203.618,00;7.646.955.030,00;37.990,00;37.990,00;37.555,40;36.010,00;1,31;490,00
BCOLOMBIA ;16/02/2022 00:00:00;258.556,00;9.851.178.510,00;38.120,00;38.700,00;38.100,75;37.900,00;,34;130,00
BCOLOMBIA ;17/02/2022 00:00:00;125.900,00;4.741.940.690,00;37.920,00;37.920,00;37.664,34;37.270,00;-,52;-200,00
BCOLOMBIA ;18/02/2022 00:00:00;129.822,00;4.844.719.990,00;37.060,00;37.990,00;37.318,17;36.600,00;-2,27;-860,00
BCOLOMBIA ;21/02/2022 00:00:00;32.996,00;1.230.826.040,00;37.290,00;37.680,00;37.302,28;36.890,00;,62;230,00
BCOLOMBIA ;22/02/2022 00:00:00;89.904,00;3.330.802.700,00;36.900,00;37.760,00;37.048,44;36.900,00;-1,05;-390,00
BCOLOMBIA ;23/02/2022 00:00:00;586.068,00;22.466.989.570,00;38.570,00;38.680,00;38.335,12;37.860,00;4,53;1.670,00
BCOLOMBIA ;24/02/2022 00:00:00;309.987,00;11.817.308.400,00;38.990,00;38.990,00;38.121,95;37.100,00;1,09;420,00
BCOLOMBIA ;25/02/2022 00:00:00;454.285,00;17.780.042.270,00;39.240,00;39.470,00;39.138,52;38.600,00;,64;250,00
BCOLOMBIA ;28/02/2022 00:00:00;385.999,00;15.157.859.480,00;39.040,00;40.300,00;39.269,17;39.040,00;-,51;-200,00
BCOLOMBIA ;01/03/2022 00:00:00;326.165,00;12.862.013.480,00;39.890,00;39.950,00;39.434,07;39.040,00;2,18;850,00
BCOLOMBIA ;02/03/2022 00:00:00;99.596,00;3.967.504.890,00;39.850,00;40.500,00;39.835,99;39.530,00;-,10;-40,00
BCOLOMBIA ;03/03/2022 00:00:00;312.980,00;12.513.032.690,00;39.990,00;40.340,00;39.980,29;39.570,00;,35;140,00
BCOLOMBIA ;04/03/2022 00:00:00;191.932,00;7.640.668.820,00;40.000,00;40.200,00;39.809,25;39.460,00;,03;10,00
BCOLOMBIA ;07/03/2022 00:00:00;120.236,00;4.761.391.510,00;39.600,00;40.000,00;39.600,38;39.480,00;-1,00;-400,00
BCOLOMBIA ;08/03/2022 00:00:00;66.710,00;2.619.520.270,00;39.000,00;39.950,00;39.267,28;39.000,00;-1,52;-600,00
BCOLOMBIA ;09/03/2022 00:00:00;139.843,00;5.478.506.260,00;39.080,00;39.700,00;39.176,12;38.940,00;,21;80,00
BCOLOMBIA ;10/03/2022 00:00:00;199.159,00;7.770.525.140,00;39.300,00;39.400,00;39.016,69;38.620,00;,56;220,00
BCOLOMBIA ;11/03/2022 00:00:00;111.433,00;4.377.285.780,00;39.180,00;39.510,00;39.281,77;38.850,00;-,31;-120,00
BCOLOMBIA ;14/03/2022 00:00:00;156.747,00;6.085.266.240,00;38.310,00;39.180,00;38.822,22;38.250,00;-2,22;-870,00
BCOLOMBIA ;15/03/2022 00:00:00;84.668,00;3.248.632.960,00;38.200,00;38.750,00;38.369,08;38.200,00;-,29;-110,00
BCOLOMBIA ;16/03/2022 00:00:00;166.888,00;6.431.305.720,00;38.850,00;38.850,00;38.536,66;38.100,00;1,70;650,00
BCOLOMBIA ;17/03/2022 00:00:00;170.803,00;6.665.045.030,00;39.100,00;39.350,00;39.021,83;38.910,00;,64;250,00
BCOLOMBIA ;18/03/2022 00:00:00;1.174.366,00;46.545.431.100,00;39.670,00;39.700,00;39.634,52;38.250,00;1,46;570,00
BCOLOMBIA ;22/03/2022 00:00:00;398.529,00;15.995.461.400,00;40.200,00;40.350,00;40.136,25;39.700,00;1,34;530,00
