Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
CELSIA    ;03/01/2022 00:00:00;18.530,00;78.142.712,00;4.218,00;4.218,00;4.217,09;4.202,00;,81;34,00
CELSIA    ;04/01/2022 00:00:00;31.766,00;135.117.182,00;4.257,00;4.257,00;4.253,52;4.249,00;,92;39,00
CELSIA    ;05/01/2022 00:00:00;18.459,00;78.879.825,00;4.270,00;4.276,00;4.273,24;4.270,00;,31;13,00
CELSIA    ;06/01/2022 00:00:00;18.212,00;76.347.037,00;4.170,00;4.182,00;4.192,13;4.170,00;-2,34;-100,00
CELSIA    ;07/01/2022 00:00:00;137.055,00;568.499.594,00;4.150,00;4.192,00;4.147,97;4.100,00;-,48;-20,00
CELSIA    ;11/01/2022 00:00:00;20.510,00;86.209.764,00;4.150,00;4.240,00;4.203,30;4.150,00;,00;,00
CELSIA    ;12/01/2022 00:00:00;185.681,00;790.539.035,00;4.220,00;4.318,00;4.257,51;4.217,00;1,69;70,00
CELSIA    ;13/01/2022 00:00:00;275.099,00;1.176.658.699,00;4.270,00;4.313,00;4.277,22;4.250,00;1,18;50,00
CELSIA    ;14/01/2022 00:00:00;393.979,00;1.649.119.460,00;4.153,00;4.300,00;4.185,81;4.153,00;-2,74;-117,00
CELSIA    ;17/01/2022 00:00:00;699.879,00;3.055.735.253,00;4.430,00;4.494,00;4.366,09;4.255,00;6,67;277,00
CELSIA    ;18/01/2022 00:00:00;1.320.152,00;6.134.747.555,00;4.790,00;4.790,00;4.647,00;4.490,00;8,13;360,00
CELSIA    ;19/01/2022 00:00:00;1.619.327,00;7.678.072.126,00;4.798,00;4.800,00;4.741,52;4.591,00;,17;8,00
CELSIA    ;20/01/2022 00:00:00;177.397,00;833.918.014,00;4.695,00;4.727,00;4.700,86;4.668,00;-2,15;-103,00
CELSIA    ;21/01/2022 00:00:00;593.955,00;2.685.609.517,00;4.502,00;4.651,00;4.521,57;4.500,00;-4,11;-193,00
CELSIA    ;24/01/2022 00:00:00;195.781,00;875.278.524,00;4.469,00;4.499,00;4.470,70;4.424,00;-,73;-33,00
CELSIA    ;25/01/2022 00:00:00;91.462,00;404.804.724,00;4.439,00;4.475,00;4.425,93;4.400,00;-,67;-30,00
CELSIA    ;26/01/2022 00:00:00;182.258,00;802.611.626,00;4.366,00;4.469,00;4.403,71;4.366,00;-1,64;-73,00
CELSIA    ;27/01/2022 00:00:00;209.877,00;914.308.738,00;4.322,00;4.469,00;4.356,40;4.322,00;-1,01;-44,00
CELSIA    ;28/01/2022 00:00:00;339.164,00;1.480.939.972,00;4.360,00;4.420,00;4.366,44;4.335,00;,88;38,00
CELSIA    ;31/01/2022 00:00:00;130.035,00;570.696.178,00;4.387,00;4.400,00;4.388,79;4.365,00;,62;27,00
CELSIA    ;01/02/2022 00:00:00;139.683,00;602.975.836,00;4.305,00;4.370,00;4.316,74;4.300,00;-1,87;-82,00
CELSIA    ;02/02/2022 00:00:00;206.857,00;886.096.440,00;4.252,00;4.357,00;4.283,62;4.240,00;-1,23;-53,00
CELSIA    ;03/02/2022 00:00:00;79.576,00;340.320.271,00;4.290,00;4.320,00;4.276,67;4.240,00;,89;38,00
CELSIA    ;04/02/2022 00:00:00;325.411,00;1.399.252.527,00;4.260,00;4.320,00;4.299,95;4.260,00;-,70;-30,00
CELSIA    ;07/02/2022 00:00:00;140.303,00;603.052.080,00;4.320,00;4.328,00;4.298,21;4.280,00;1,41;60,00
