Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
CEMARGOS  ;03/01/2022 00:00:00;74.298,00;456.336.380,00;6.175,00;6.200,00;6.141,97;6.025,00;1,06;65,00
CEMARGOS  ;04/01/2022 00:00:00;145.173,00;913.285.440,00;6.240,00;6.350,00;6.291,01;6.200,00;1,05;65,00
CEMARGOS  ;05/01/2022 00:00:00;398.927,00;2.468.980.485,00;6.235,00;6.280,00;6.189,05;6.085,00;-,08;-5,00
CEMARGOS  ;06/01/2022 00:00:00;124.266,00;753.927.835,00;6.050,00;6.245,00;6.067,05;5.995,00;-2,97;-185,00
CEMARGOS  ;07/01/2022 00:00:00;419.373,00;2.588.137.315,00;6.200,00;6.300,00;6.171,44;6.150,00;2,48;150,00
CEMARGOS  ;11/01/2022 00:00:00;108.514,00;683.053.345,00;6.310,00;6.390,00;6.294,61;6.115,00;1,77;110,00
CEMARGOS  ;12/01/2022 00:00:00;306.083,00;1.954.665.970,00;6.310,00;6.470,00;6.386,07;6.310,00;,00;,00
CEMARGOS  ;13/01/2022 00:00:00;258.006,00;1.629.703.385,00;6.290,00;6.350,00;6.316,53;6.290,00;-,32;-20,00
CEMARGOS  ;14/01/2022 00:00:00;1.243.985,00;7.798.297.210,00;6.170,00;6.380,00;6.268,80;6.170,00;-1,91;-120,00
CEMARGOS  ;17/01/2022 00:00:00;1.920.232,00;12.371.130.170,00;6.450,00;6.500,00;6.442,52;6.300,00;4,54;280,00
CEMARGOS  ;18/01/2022 00:00:00;2.124.474,00;14.373.386.385,00;6.740,00;6.950,00;6.765,62;6.500,00;4,50;290,00
CEMARGOS  ;19/01/2022 00:00:00;1.225.926,00;8.201.112.590,00;6.750,00;6.770,00;6.689,73;6.635,00;,15;10,00
CEMARGOS  ;20/01/2022 00:00:00;705.283,00;4.726.334.500,00;6.580,00;6.830,00;6.701,33;6.560,00;-2,52;-170,00
CEMARGOS  ;21/01/2022 00:00:00;499.729,00;3.236.369.470,00;6.435,00;6.600,00;6.476,25;6.400,00;-2,20;-145,00
CEMARGOS  ;24/01/2022 00:00:00;959.281,00;6.142.265.275,00;6.445,00;6.450,00;6.402,99;6.370,00;,16;10,00
CEMARGOS  ;25/01/2022 00:00:00;206.334,00;1.337.349.365,00;6.445,00;6.545,00;6.481,48;6.420,00;,00;,00
CEMARGOS  ;26/01/2022 00:00:00;123.923,00;791.850.030,00;6.335,00;6.515,00;6.389,86;6.330,00;-1,71;-110,00
CEMARGOS  ;27/01/2022 00:00:00;724.664,00;4.583.186.235,00;6.325,00;6.400,00;6.324,57;6.300,00;-,16;-10,00
CEMARGOS  ;28/01/2022 00:00:00;118.391,00;759.328.505,00;6.360,00;6.450,00;6.413,74;6.360,00;,55;35,00
CEMARGOS  ;31/01/2022 00:00:00;293.451,00;1.887.566.010,00;6.480,00;6.480,00;6.432,30;6.400,00;1,89;120,00
CEMARGOS  ;01/02/2022 00:00:00;299.813,00;1.896.726.735,00;6.270,00;6.540,00;6.326,37;6.260,00;-3,24;-210,00
CEMARGOS  ;02/02/2022 00:00:00;965.005,00;6.131.077.565,00;6.400,00;6.410,00;6.353,42;6.300,00;2,07;130,00
CEMARGOS  ;03/02/2022 00:00:00;560.596,00;3.528.824.770,00;6.340,00;6.340,00;6.294,77;6.270,00;-,94;-60,00
CEMARGOS  ;04/02/2022 00:00:00;223.694,00;1.416.218.930,00;6.300,00;6.370,00;6.331,05;6.300,00;-,63;-40,00
CEMARGOS  ;07/02/2022 00:00:00;443.171,00;2.830.255.765,00;6.315,00;6.420,00;6.386,37;6.315,00;,24;15,00
CEMARGOS  ;08/02/2022 00:00:00;105.570,00;673.430.380,00;6.365,00;6.425,00;6.378,99;6.310,00;,79;50,00
CEMARGOS  ;09/02/2022 00:00:00;292.390,00;1.847.362.255,00;6.255,00;6.380,00;6.318,14;6.255,00;-1,73;-110,00
CEMARGOS  ;10/02/2022 00:00:00;463.745,00;2.876.073.325,00;6.165,00;6.255,00;6.201,84;6.140,00;-1,44;-90,00
CEMARGOS  ;11/02/2022 00:00:00;555.100,00;3.449.408.210,00;6.200,00;6.250,00;6.214,03;6.160,00;,57;35,00
CEMARGOS  ;14/02/2022 00:00:00;264.144,00;1.628.126.665,00;6.155,00;6.200,00;6.163,78;6.130,00;-,73;-45,00
CEMARGOS  ;15/02/2022 00:00:00;298.894,00;1.822.329.890,00;6.060,00;6.145,00;6.096,91;6.060,00;-1,54;-95,00
CEMARGOS  ;16/02/2022 00:00:00;719.319,00;4.458.705.185,00;6.240,00;6.240,00;6.198,51;6.150,00;2,97;180,00
CEMARGOS  ;17/02/2022 00:00:00;323.415,00;2.035.038.560,00;6.355,00;6.365,00;6.292,34;6.200,00;1,84;115,00
CEMARGOS  ;18/02/2022 00:00:00;961.112,00;6.173.553.465,00;6.380,00;6.495,00;6.423,34;6.365,00;,39;25,00
CEMARGOS  ;21/02/2022 00:00:00;103.367,00;653.900.670,00;6.350,00;6.350,00;6.326,01;6.305,00;-,47;-30,00
CEMARGOS  ;22/02/2022 00:00:00;152.633,00;955.523.070,00;6.230,00;6.400,00;6.260,27;6.215,00;-1,89;-120,00
CEMARGOS  ;23/02/2022 00:00:00;221.050,00;1.380.653.255,00;6.275,00;6.345,00;6.245,89;6.175,00;,72;45,00
CEMARGOS  ;24/02/2022 00:00:00;313.109,00;1.923.768.470,00;6.150,00;6.200,00;6.144,09;6.105,00;-1,99;-125,00
CEMARGOS  ;25/02/2022 00:00:00;200.283,00;1.231.473.045,00;6.125,00;6.205,00;6.148,66;6.125,00;-,41;-25,00
CEMARGOS  ;28/02/2022 00:00:00;436.829,00;2.680.410.440,00;6.070,00;6.305,00;6.136,06;6.070,00;-,90;-55,00
CEMARGOS  ;01/03/2022 00:00:00;334.177,00;2.060.093.095,00;6.175,00;6.200,00;6.164,68;6.100,00;1,73;105,00
CEMARGOS  ;02/03/2022 00:00:00;514.779,00;3.182.655.800,00;6.185,00;6.230,00;6.182,57;6.135,00;,16;10,00
CEMARGOS  ;03/03/2022 00:00:00;163.866,00;1.006.846.940,00;6.145,00;6.190,00;6.144,33;6.115,00;-,65;-40,00
CEMARGOS  ;04/03/2022 00:00:00;234.971,00;1.436.921.800,00;6.125,00;6.145,00;6.115,32;6.105,00;-,33;-20,00
CEMARGOS  ;07/03/2022 00:00:00;444.347,00;2.687.177.475,00;6.085,00;6.175,00;6.047,48;5.940,00;-,65;-40,00
CEMARGOS  ;08/03/2022 00:00:00;160.325,00;967.507.285,00;6.040,00;6.070,00;6.034,66;6.010,00;-,74;-45,00
CEMARGOS  ;09/03/2022 00:00:00;187.943,00;1.127.855.580,00;5.980,00;6.070,00;6.001,05;5.960,00;-,99;-60,00
CEMARGOS  ;10/03/2022 00:00:00;535.215,00;3.213.700.245,00;6.035,00;6.060,00;6.004,50;5.950,00;,92;55,00
CEMARGOS  ;11/03/2022 00:00:00;249.925,00;1.520.926.360,00;6.100,00;6.140,00;6.085,53;6.040,00;1,08;65,00
CEMARGOS  ;14/03/2022 00:00:00;88.862,00;530.443.790,00;5.995,00;6.000,00;5.969,30;5.925,00;-1,72;-105,00
CEMARGOS  ;15/03/2022 00:00:00;100.935,00;609.108.765,00;6.085,00;6.100,00;6.034,66;5.995,00;1,50;90,00
CEMARGOS  ;16/03/2022 00:00:00;75.954,00;462.286.540,00;6.090,00;6.130,00;6.086,40;6.060,00;,08;5,00
CEMARGOS  ;17/03/2022 00:00:00;107.491,00;657.207.110,00;6.130,00;6.130,00;6.114,07;6.090,00;,66;40,00
CEMARGOS  ;18/03/2022 00:00:00;640.844,00;3.832.594.790,00;5.970,00;6.130,00;5.980,54;5.970,00;-2,61;-160,00
CEMARGOS  ;22/03/2022 00:00:00;46.264,00;279.623.245,00;6.035,00;6.140,00;6.044,08;6.000,00;1,09;65,00
CEMARGOS  ;23/03/2022 00:00:00;196.329,00;1.182.848.430,00;6.115,00;6.120,00;6.024,83;5.950,00;1,33;80,00
CEMARGOS  ;24/03/2022 00:00:00;491.792,00;3.031.219.020,00;6.190,00;6.240,00;6.163,62;6.110,00;1,23;75,00
CEMARGOS  ;25/03/2022 00:00:00;711.585,00;4.434.422.560,00;6.280,00;6.330,00;6.231,75;6.165,00;1,45;90,00
CEMARGOS  ;28/03/2022 00:00:00;715.859,00;4.493.002.475,00;6.230,00;6.335,00;6.276,38;6.180,00;-,80;-50,00
CEMARGOS  ;29/03/2022 00:00:00;735.074,00;4.566.401.950,00;6.235,00;6.285,00;6.212,17;6.195,00;,08;5,00
CEMARGOS  ;30/03/2022 00:00:00;319.243,00;1.968.203.440,00;6.120,00;6.250,00;6.165,22;6.100,00;-1,84;-115,00
CEMARGOS  ;31/03/2022 00:00:00;147.355,00;911.035.760,00;6.230,00;6.240,00;6.182,59;6.105,00;1,80;110,00
CEMARGOS  ;01/04/2022 00:00:00;502.318,00;3.158.930.805,00;6.330,00;6.330,00;6.288,71;6.235,00;1,61;100,00
CEMARGOS  ;04/04/2022 00:00:00;114.895,00;723.336.750,00;6.300,00;6.330,00;6.295,63;6.260,00;-,47;-30,00
CEMARGOS  ;05/04/2022 00:00:00;354.120,00;2.262.917.410,00;6.350,00;6.415,00;6.390,26;6.330,00;,79;50,00
CEMARGOS  ;06/04/2022 00:00:00;730.583,00;4.672.581.585,00;6.400,00;6.450,00;6.395,69;6.330,00;,79;50,00
CEMARGOS  ;07/04/2022 00:00:00;452.218,00;2.900.176.460,00;6.450,00;6.450,00;6.413,23;6.325,00;,78;50,00
CEMARGOS  ;08/04/2022 00:00:00;1.693.086,00;11.102.737.320,00;6.600,00;6.600,00;6.557,69;6.425,00;2,33;150,00
CEMARGOS  ;11/04/2022 00:00:00;131.579,00;844.889.285,00;6.430,00;6.455,00;6.421,16;6.400,00;-2,58;-170,00
CEMARGOS  ;12/04/2022 00:00:00;139.546,00;900.556.750,00;6.490,00;6.500,00;6.453,48;6.400,00;,93;60,00
CEMARGOS  ;13/04/2022 00:00:00;40.704,00;260.294.315,00;6.450,00;6.450,00;6.394,81;6.360,00;-,62;-40,00
