Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
CNEC      ;03/01/2022 00:00:00;10.712,00;108.030.130,00;10.040,00;10.110,00;10.084,96;10.040,00;-,69;-70,00
CNEC      ;04/01/2022 00:00:00;203.211,00;2.100.690.690,00;10.430,00;10.460,00;10.337,49;10.140,00;3,88;390,00
CNEC      ;05/01/2022 00:00:00;34.809,00;360.090.930,00;10.140,00;10.440,00;10.344,77;10.140,00;-2,78;-290,00
CNEC      ;06/01/2022 00:00:00;74.414,00;750.440.880,00;10.040,00;10.140,00;10.084,67;10.040,00;-,99;-100,00
CNEC      ;07/01/2022 00:00:00;18.264,00;185.297.000,00;10.170,00;10.180,00;10.145,48;10.100,00;1,29;130,00
CNEC      ;11/01/2022 00:00:00;19.728,00;199.192.170,00;10.100,00;10.100,00;10.096,93;10.100,00;-,69;-70,00
CNEC      ;12/01/2022 00:00:00;186.720,00;1.894.050.590,00;10.140,00;10.180,00;10.143,80;10.100,00;,40;40,00
CNEC      ;13/01/2022 00:00:00;157.327,00;1.576.704.570,00;9.990,00;10.200,00;10.021,83;9.900,00;-1,48;-150,00
CNEC      ;14/01/2022 00:00:00;151.711,00;1.534.765.370,00;10.070,00;10.170,00;10.116,38;10.070,00;,80;80,00
CNEC      ;17/01/2022 00:00:00;142.704,00;1.458.937.420,00;10.180,00;10.310,00;10.223,52;10.180,00;1,09;110,00
CNEC      ;18/01/2022 00:00:00;453.580,00;4.724.049.590,00;10.400,00;10.520,00;10.415,03;10.350,00;2,16;220,00
CNEC      ;19/01/2022 00:00:00;546.931,00;5.682.581.480,00;10.320,00;10.470,00;10.389,94;10.300,00;-,77;-80,00
CNEC      ;20/01/2022 00:00:00;200.834,00;2.062.282.860,00;10.200,00;10.330,00;10.268,59;10.130,00;-1,16;-120,00
CNEC      ;21/01/2022 00:00:00;579.819,00;5.779.684.430,00;9.990,00;10.070,00;9.968,08;9.900,00;-2,06;-210,00
CNEC      ;24/01/2022 00:00:00;638.557,00;6.262.767.910,00;10.040,00;10.080,00;9.807,69;9.730,00;,50;50,00
CNEC      ;25/01/2022 00:00:00;258.202,00;2.588.113.065,00;10.040,00;10.110,00;10.023,60;9.870,00;,00;,00
CNEC      ;26/01/2022 00:00:00;389.550,00;3.890.080.805,00;9.910,00;10.130,00;9.986,09;9.850,00;-1,29;-130,00
CNEC      ;27/01/2022 00:00:00;354.311,00;3.541.014.700,00;10.000,00;10.050,00;9.994,09;9.900,00;,91;90,00
CNEC      ;28/01/2022 00:00:00;488.561,00;4.852.502.405,00;9.925,00;9.990,00;9.932,23;9.800,00;-,75;-75,00
CNEC      ;31/01/2022 00:00:00;555.401,00;5.665.464.885,00;10.360,00;10.400,00;10.200,67;9.990,00;4,38;435,00
CNEC      ;01/02/2022 00:00:00;52.108,00;531.424.750,00;10.180,00;10.270,00;10.198,53;10.180,00;-1,74;-180,00
CNEC      ;02/02/2022 00:00:00;111.803,00;1.138.774.370,00;10.180,00;10.240,00;10.185,54;10.160,00;,00;,00
CNEC      ;03/02/2022 00:00:00;37.620,00;383.100.500,00;10.130,00;10.230,00;10.183,43;10.130,00;-,49;-50,00
CNEC      ;04/02/2022 00:00:00;26.178,00;264.593.360,00;10.050,00;10.140,00;10.107,47;10.050,00;-,79;-80,00
CNEC      ;07/02/2022 00:00:00;77.949,00;786.443.940,00;10.040,00;10.140,00;10.089,21;10.040,00;-,10;-10,00
CNEC      ;08/02/2022 00:00:00;64.157,00;641.683.980,00;10.010,00;10.050,00;10.001,78;9.980,00;-,30;-30,00
CNEC      ;09/02/2022 00:00:00;89.256,00;888.941.935,00;10.050,00;10.060,00;9.959,46;9.870,00;,40;40,00
CNEC      ;10/02/2022 00:00:00;176.291,00;1.738.860.630,00;9.820,00;9.930,00;9.863,58;9.800,00;-2,29;-230,00
CNEC      ;11/02/2022 00:00:00;267.134,00;2.666.206.125,00;10.060,00;10.070,00;9.980,78;9.820,00;2,44;240,00
