Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
CONCONCRET;03/01/2022 00:00:00;428.699,00;126.112.435,80;295,50;296,00;294,17;290,00;1,90;5,50
CONCONCRET;04/01/2022 00:00:00;550.500,00;164.256.055,20;300,00;300,00;298,38;296,00;1,52;4,50
CONCONCRET;05/01/2022 00:00:00;612.691,00;179.497.956,40;292,10;295,50;292,97;292,10;-2,63;-7,90
CONCONCRET;06/01/2022 00:00:00;554.462,00;157.627.603,20;282,00;286,00;284,29;282,00;-3,46;-10,10
CONCONCRET;07/01/2022 00:00:00;111.878,00;32.022.603,20;285,00;285,00;286,23;285,00;1,06;3,00
CONCONCRET;11/01/2022 00:00:00;103.821,00;29.974.093,10;290,00;290,00;288,71;290,00;1,75;5,00
CONCONCRET;12/01/2022 00:00:00;606.139,00;177.151.548,40;291,00;294,90;292,26;291,00;,34;1,00
CONCONCRET;13/01/2022 00:00:00;69.757,00;20.361.119,00;294,00;294,00;291,89;294,00;1,03;3,00
CONCONCRET;14/01/2022 00:00:00;455.738,00;134.870.685,80;294,00;297,00;295,94;294,00;,00;,00
CONCONCRET;17/01/2022 00:00:00;862.093,00;257.364.766,50;299,90;300,00;298,53;296,00;2,01;5,90
CONCONCRET;18/01/2022 00:00:00;1.774.676,00;542.619.584,90;307,00;315,00;305,76;295,00;2,37;7,10
CONCONCRET;19/01/2022 00:00:00;816.655,00;252.379.449,30;311,80;312,00;309,04;302,00;1,56;4,80
CONCONCRET;20/01/2022 00:00:00;209.752,00;64.340.071,80;305,70;307,00;306,74;305,70;-1,96;-6,10
CONCONCRET;21/01/2022 00:00:00;417.833,00;127.081.527,90;305,00;305,70;304,14;305,00;-,23;-,70
CONCONCRET;24/01/2022 00:00:00;595.213,00;180.800.003,80;303,00;306,00;303,76;301,00;-,66;-2,00
CONCONCRET;25/01/2022 00:00:00;272.734,00;82.851.731,00;303,00;303,50;303,78;302,50;,00;,00
CONCONCRET;26/01/2022 00:00:00;3.632.930,00;1.133.681.188,40;315,00;315,00;312,06;305,00;3,96;12,00
CONCONCRET;27/01/2022 00:00:00;2.083.834,00;653.423.262,70;315,00;320,00;313,57;307,10;,00;,00
CONCONCRET;28/01/2022 00:00:00;8.182.009,00;2.739.751.616,00;350,00;350,00;334,85;319,90;11,11;35,00
CONCONCRET;31/01/2022 00:00:00;9.762.073,00;3.535.361.232,40;355,00;379,00;362,15;350,00;1,43;5,00
CONCONCRET;01/02/2022 00:00:00;1.163.581,00;405.985.935,60;346,00;355,10;348,91;345,00;-2,54;-9,00
CONCONCRET;02/02/2022 00:00:00;575.095,00;199.322.475,70;345,00;353,00;346,59;345,00;-,29;-1,00
CONCONCRET;03/02/2022 00:00:00;1.173.878,00;394.183.465,70;335,00;339,10;335,80;334,00;-2,90;-10,00
CONCONCRET;04/02/2022 00:00:00;680.378,00;230.429.681,20;335,00;341,00;338,68;335,00;,00;,00
CONCONCRET;07/02/2022 00:00:00;711.370,00;236.461.029,50;330,00;340,00;332,40;328,00;-1,49;-5,00
CONCONCRET;08/02/2022 00:00:00;484.647,00;158.869.881,50;327,00;330,50;327,81;326,00;-,91;-3,00
CONCONCRET;09/02/2022 00:00:00;567.239,00;183.888.315,00;321,10;325,20;324,18;321,10;-1,80;-5,90
CONCONCRET;10/02/2022 00:00:00;817.127,00;256.717.417,20;311,00;320,00;314,17;308,00;-3,15;-10,10
CONCONCRET;11/02/2022 00:00:00;1.265.957,00;395.725.866,20;310,00;315,00;312,59;310,00;-,32;-1,00
CONCONCRET;14/02/2022 00:00:00;231.515,00;72.503.233,00;313,00;315,80;313,17;312,00;,97;3,00
