Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
ECOPETROL ;03/01/2022 00:00:00;1.485.217,00;4.032.130.981,00;2.720,00;2.728,00;2.714,84;2.651,00;1,12;30,00
ECOPETROL ;04/01/2022 00:00:00;1.835.536,00;5.030.437.980,00;2.740,00;2.752,00;2.740,58;2.720,00;,74;20,00
ECOPETROL ;05/01/2022 00:00:00;3.494.795,00;9.403.401.613,00;2.660,00;2.759,00;2.690,69;2.651,00;-2,92;-80,00
ECOPETROL ;06/01/2022 00:00:00;2.915.271,00;7.686.296.620,00;2.615,00;2.693,00;2.636,56;2.605,00;-1,69;-45,00
ECOPETROL ;07/01/2022 00:00:00;1.891.873,00;5.021.505.293,00;2.651,00;2.690,00;2.654,25;2.615,00;1,38;36,00
ECOPETROL ;11/01/2022 00:00:00;5.376.506,00;14.726.572.921,00;2.761,00;2.764,00;2.739,06;2.633,00;4,15;110,00
ECOPETROL ;12/01/2022 00:00:00;6.445.367,00;17.978.490.453,00;2.790,00;2.820,00;2.789,37;2.750,00;1,05;29,00
ECOPETROL ;13/01/2022 00:00:00;12.694.470,00;35.276.799.807,00;2.798,00;2.808,00;2.778,91;2.740,00;,29;8,00
ECOPETROL ;14/01/2022 00:00:00;16.307.521,00;45.839.107.844,00;2.801,00;2.850,00;2.810,92;2.765,00;,11;3,00
ECOPETROL ;17/01/2022 00:00:00;16.611.409,00;48.119.948.732,00;2.910,00;2.910,00;2.896,80;2.811,00;3,89;109,00
ECOPETROL ;18/01/2022 00:00:00;36.911.657,00;110.722.197.760,00;3.010,00;3.030,00;2.999,65;2.920,00;3,44;100,00
ECOPETROL ;19/01/2022 00:00:00;23.154.391,00;70.073.624.320,00;2.990,00;3.080,00;3.026,36;2.980,00;-,66;-20,00
ECOPETROL ;20/01/2022 00:00:00;8.401.319,00;24.711.037.150,00;2.906,00;2.990,00;2.941,33;2.900,00;-2,81;-84,00
ECOPETROL ;21/01/2022 00:00:00;13.863.443,00;39.608.419.479,00;2.851,00;2.905,00;2.857,04;2.829,00;-1,89;-55,00
ECOPETROL ;24/01/2022 00:00:00;13.372.595,00;37.489.980.838,00;2.824,00;2.837,00;2.803,49;2.790,00;-,95;-27,00
ECOPETROL ;25/01/2022 00:00:00;11.362.812,00;32.561.769.080,00;2.895,00;2.910,00;2.865,64;2.801,00;2,51;71,00
ECOPETROL ;26/01/2022 00:00:00;11.891.193,00;34.882.763.947,00;2.891,00;2.950,00;2.933,50;2.890,00;-,14;-4,00
ECOPETROL ;27/01/2022 00:00:00;4.163.245,00;12.081.409.511,00;2.905,00;2.938,00;2.901,92;2.880,00;,48;14,00
ECOPETROL ;28/01/2022 00:00:00;5.774.786,00;16.726.246.902,00;2.886,00;2.950,00;2.896,43;2.878,00;-,65;-19,00
ECOPETROL ;31/01/2022 00:00:00;6.130.784,00;17.783.802.120,00;2.905,00;2.930,00;2.900,74;2.865,00;,66;19,00
ECOPETROL ;01/02/2022 00:00:00;5.063.447,00;14.654.209.203,00;2.882,00;2.917,00;2.894,12;2.875,00;-,79;-23,00
ECOPETROL ;02/02/2022 00:00:00;6.617.229,00;19.141.313.565,00;2.889,00;2.908,00;2.892,65;2.876,00;,24;7,00
ECOPETROL ;03/02/2022 00:00:00;4.880.281,00;13.875.545.788,00;2.838,00;2.890,00;2.843,19;2.817,00;-1,77;-51,00
ECOPETROL ;04/02/2022 00:00:00;9.715.789,00;28.268.972.228,00;2.901,00;2.949,00;2.909,59;2.846,00;2,22;63,00
ECOPETROL ;07/02/2022 00:00:00;7.396.143,00;21.640.707.735,00;2.934,00;2.937,00;2.925,95;2.890,00;1,14;33,00
ECOPETROL ;08/02/2022 00:00:00;8.901.783,00;25.935.454.390,00;2.915,00;2.985,00;2.913,51;2.890,00;-,65;-19,00
ECOPETROL ;09/02/2022 00:00:00;2.794.938,00;8.109.031.313,00;2.899,00;2.919,00;2.901,33;2.884,00;-,55;-16,00
ECOPETROL ;10/02/2022 00:00:00;7.209.811,00;20.826.256.899,00;2.850,00;2.937,00;2.888,60;2.850,00;-1,69;-49,00
ECOPETROL ;11/02/2022 00:00:00;13.695.401,00;40.174.466.133,00;2.972,00;2.972,00;2.933,43;2.870,00;4,28;122,00
ECOPETROL ;14/02/2022 00:00:00;11.582.281,00;33.948.184.095,00;2.946,00;2.970,00;2.931,04;2.911,00;-,87;-26,00
ECOPETROL ;15/02/2022 00:00:00;15.178.169,00;43.950.284.554,00;2.918,00;2.934,00;2.895,62;2.881,00;-,95;-28,00
ECOPETROL ;16/02/2022 00:00:00;36.605.391,00;110.626.067.206,00;3.017,00;3.050,00;3.022,12;2.940,00;3,39;99,00
ECOPETROL ;17/02/2022 00:00:00;6.267.680,00;18.872.724.322,00;3.015,00;3.037,00;3.011,12;2.991,00;-,07;-2,00
ECOPETROL ;18/02/2022 00:00:00;4.793.160,00;14.364.303.673,00;2.997,00;3.015,00;2.996,83;2.980,00;-,60;-18,00
ECOPETROL ;21/02/2022 00:00:00;3.813.654,00;11.446.505.608,00;3.009,00;3.012,00;3.001,45;2.990,00;,40;12,00
ECOPETROL ;22/02/2022 00:00:00;13.491.882,00;41.077.328.160,00;3.025,00;3.077,00;3.044,60;3.004,00;,53;16,00
ECOPETROL ;23/02/2022 00:00:00;5.149.743,00;15.659.486.476,00;3.054,00;3.073,00;3.040,83;3.011,00;,96;29,00
ECOPETROL ;24/02/2022 00:00:00;13.387.186,00;41.022.196.742,00;3.056,00;3.149,00;3.064,29;3.025,00;,07;2,00
ECOPETROL ;25/02/2022 00:00:00;5.739.641,00;17.458.989.486,00;3.064,00;3.064,00;3.041,83;3.020,00;,26;8,00
ECOPETROL ;28/02/2022 00:00:00;34.517.449,00;110.637.983.816,00;3.263,00;3.263,00;3.205,28;3.012,00;6,49;199,00
ECOPETROL ;01/03/2022 00:00:00;16.216.845,00;52.864.174.796,00;3.239,00;3.349,00;3.259,83;3.180,00;-,74;-24,00
ECOPETROL ;02/03/2022 00:00:00;10.980.706,00;35.263.091.097,00;3.176,00;3.332,00;3.211,37;3.151,00;-1,95;-63,00
ECOPETROL ;03/03/2022 00:00:00;12.463.616,00;39.745.398.063,00;3.204,00;3.229,00;3.188,91;3.120,00;,88;28,00
ECOPETROL ;04/03/2022 00:00:00;16.244.962,00;53.707.041.999,00;3.340,00;3.343,00;3.306,07;3.210,00;4,24;136,00
