Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
ELCONDOR  ;03/01/2022 00:00:00;,00;,00;810,00;,00;,00;,00;,00;,00
ELCONDOR  ;04/01/2022 00:00:00;2.000,00;1.610.400,00;810,00;,00;805,20;,00;,00;,00
ELCONDOR  ;05/01/2022 00:00:00;51.800,00;43.291.872,00;849,00;849,00;835,75;820,00;4,81;39,00
ELCONDOR  ;06/01/2022 00:00:00;23.680,00;19.397.900,00;835,00;835,00;819,17;835,00;-1,65;-14,00
ELCONDOR  ;07/01/2022 00:00:00;13.512,00;10.809.600,00;800,00;800,00;800,00;800,00;-4,19;-35,00
ELCONDOR  ;11/01/2022 00:00:00;,00;,00;800,00;,00;,00;,00;,00;,00
ELCONDOR  ;12/01/2022 00:00:00;55.912,00;45.029.485,00;805,00;805,00;805,36;805,00;,63;5,00
ELCONDOR  ;13/01/2022 00:00:00;16.200,00;13.397.400,00;827,00;827,00;827,00;827,00;2,73;22,00
ELCONDOR  ;14/01/2022 00:00:00;16.393,00;13.360.295,00;815,00;815,00;815,00;815,00;-1,45;-12,00
ELCONDOR  ;17/01/2022 00:00:00;68.831,00;58.165.989,40;889,00;889,00;845,06;833,00;9,08;74,00
ELCONDOR  ;18/01/2022 00:00:00;197.189,00;170.392.985,60;871,00;900,00;864,11;805,10;-2,02;-18,00
ELCONDOR  ;19/01/2022 00:00:00;16.399,00;13.993.513,10;846,90;846,90;853,32;846,90;-2,77;-24,10
ELCONDOR  ;20/01/2022 00:00:00;81.265,00;67.576.950,00;830,00;831,00;831,56;830,00;-2,00;-16,90
ELCONDOR  ;21/01/2022 00:00:00;78.577,00;64.882.570,00;825,00;830,00;825,72;820,00;-,60;-5,00
ELCONDOR  ;24/01/2022 00:00:00;,00;,00;825,00;,00;,00;,00;,00;,00
ELCONDOR  ;25/01/2022 00:00:00;2.700,00;2.294.730,00;825,00;,00;849,90;,00;,00;,00
ELCONDOR  ;26/01/2022 00:00:00;20.830,00;17.397.900,00;840,00;840,00;835,23;831,00;1,82;15,00
