Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
ETB       ;01/03/2022 00:00:00;123.035,00;22.457.452,80;182,30;182,30;182,53;182,30;1,28;2,30
ETB       ;02/03/2022 00:00:00;89.235,00;16.309.329,50;182,30;,00;182,77;,00;,00;,00
ETB       ;03/03/2022 00:00:00;2.489.232,00;468.025.005,40;192,00;192,00;188,02;180,00;5,32;9,70
ETB       ;04/03/2022 00:00:00;20.226,00;3.804.037,50;192,00;,00;188,08;,00;,00;,00
ETB       ;07/03/2022 00:00:00;49.987,00;9.376.159,10;192,00;,00;187,57;,00;,00;,00
ETB       ;08/03/2022 00:00:00;247.503,00;45.535.729,00;192,00;,00;183,98;,00;,00;,00
ETB       ;09/03/2022 00:00:00;855.155,00;160.586.991,10;191,00;191,00;187,79;180,00;-,52;-1,00
ETB       ;10/03/2022 00:00:00;267.884,00;49.623.482,40;184,50;185,00;185,24;184,50;-3,40;-6,50
ETB       ;11/03/2022 00:00:00;94.016,00;17.187.785,50;182,00;182,00;182,82;182,00;-1,36;-2,50
ETB       ;14/03/2022 00:00:00;297.662,00;55.788.306,30;187,50;188,10;187,42;187,50;3,02;5,50
ETB       ;15/03/2022 00:00:00;100.701,00;18.930.093,80;187,50;,00;187,98;,00;,00;,00
ETB       ;16/03/2022 00:00:00;1.229.833,00;224.071.545,20;181,00;182,20;182,20;181,00;-3,47;-6,50
ETB       ;17/03/2022 00:00:00;4.975,00;918.797,20;181,00;,00;184,68;,00;,00;,00
ETB       ;18/03/2022 00:00:00;1.149.438,00;210.778.147,20;182,20;187,00;183,37;180,00;,66;1,20
ETB       ;22/03/2022 00:00:00;24.952,00;4.553.494,80;182,20;,00;182,49;,00;,00;,00
ETB       ;23/03/2022 00:00:00;9.093,00;1.653.228,80;182,20;,00;181,81;,00;,00;,00
ETB       ;24/03/2022 00:00:00;77.497,00;14.290.237,50;182,20;,00;184,40;,00;,00;,00
ETB       ;25/03/2022 00:00:00;210.682,00;38.341.225,60;182,00;182,10;181,99;182,00;-,11;-,20
ETB       ;28/03/2022 00:00:00;43.435,00;7.892.583,50;182,00;,00;181,71;,00;,00;,00
ETB       ;29/03/2022 00:00:00;302.036,00;55.101.375,20;182,00;182,00;182,43;182,00;,00;,00
ETB       ;30/03/2022 00:00:00;632.727,00;115.037.783,20;182,00;182,00;181,81;182,00;,00;,00
ETB       ;31/03/2022 00:00:00;100.741,00;18.234.936,00;181,00;181,00;181,01;181,00;-,55;-1,00
ETB       ;01/04/2022 00:00:00;138.644,00;25.488.168,00;184,90;184,90;183,84;184,00;2,15;3,90
ETB       ;04/04/2022 00:00:00;83.143,00;15.036.666,50;184,90;,00;180,85;,00;,00;,00
ETB       ;05/04/2022 00:00:00;101.080,00;18.420.167,10;184,90;,00;182,23;,00;,00;,00
ETB       ;06/04/2022 00:00:00;399.521,00;71.942.274,90;184,60;184,60;180,07;177,00;-,16;-,30
ETB       ;07/04/2022 00:00:00;137.055,00;24.424.495,60;184,60;,00;178,21;,00;,00;,00
ETB       ;08/04/2022 00:00:00;61.626,00;10.968.591,00;184,60;,00;177,99;,00;,00;,00
ETB       ;11/04/2022 00:00:00;6.059,00;1.103.984,20;184,60;,00;182,21;,00;,00;,00
ETB       ;12/04/2022 00:00:00;123.099,00;22.316.830,30;182,90;182,90;181,29;182,90;-,92;-1,70
ETB       ;13/04/2022 00:00:00;11.713,00;2.089.881,80;182,90;,00;178,42;,00;,00;,00
ETB       ;18/04/2022 00:00:00;465.934,00;83.951.915,50;180,00;180,00;180,18;180,00;-1,59;-2,90
ETB       ;19/04/2022 00:00:00;794.199,00;142.850.440,90;180,00;180,00;179,87;180,00;,00;,00
ETB       ;20/04/2022 00:00:00;27.050,00;4.760.499,30;180,00;,00;175,99;,00;,00;,00
ETB       ;21/04/2022 00:00:00;47.051,00;8.263.502,20;180,00;,00;175,63;,00;,00;,00
ETB       ;22/04/2022 00:00:00;251.438,00;45.189.252,60;180,00;180,00;179,72;180,00;,00;,00
ETB       ;25/04/2022 00:00:00;241.911,00;43.544.837,00;180,00;180,00;180,00;180,00;,00;,00
ETB       ;26/04/2022 00:00:00;136.424,00;24.169.644,00;177,00;177,00;177,17;177,00;-1,67;-3,00
ETB       ;27/04/2022 00:00:00;82.636,00;14.757.739,10;177,00;,00;178,59;,00;,00;,00
ETB       ;28/04/2022 00:00:00;38.561,00;6.880.821,50;177,00;,00;178,44;,00;,00;,00
ETB       ;29/04/2022 00:00:00;204.562,00;36.402.684,90;177,00;,00;177,95;,00;,00;,00
