Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
EXITO     ;03/01/2022 00:00:00;,00;,00;11.490,00;,00;,00;,00;,00;,00
EXITO     ;04/01/2022 00:00:00;3.099,00;35.628.110,00;11.500,00;11.500,00;11.496,65;11.490,00;,09;10,00
EXITO     ;05/01/2022 00:00:00;27.239,00;312.988.240,00;11.330,00;11.500,00;11.490,45;11.330,00;-1,48;-170,00
EXITO     ;06/01/2022 00:00:00;9.987,00;112.660.760,00;11.200,00;11.330,00;11.280,74;11.200,00;-1,15;-130,00
EXITO     ;07/01/2022 00:00:00;,00;,00;11.200,00;,00;,00;,00;,00;,00
EXITO     ;11/01/2022 00:00:00;,00;,00;11.200,00;,00;,00;,00;,00;,00
EXITO     ;12/01/2022 00:00:00;1.619,00;18.345.640,00;11.450,00;11.450,00;11.331,46;11.250,00;2,23;250,00
EXITO     ;13/01/2022 00:00:00;1.425,00;16.104.960,00;11.300,00;11.300,00;11.301,73;11.300,00;-1,31;-150,00
EXITO     ;14/01/2022 00:00:00;3.615,00;40.871.700,00;11.300,00;11.300,00;11.306,14;11.300,00;,00;,00
EXITO     ;17/01/2022 00:00:00;101.434,00;1.169.236.260,00;11.600,00;11.600,00;11.527,06;11.450,00;2,65;300,00
EXITO     ;18/01/2022 00:00:00;189.093,00;2.239.725.010,00;12.020,00;12.240,00;11.844,57;11.600,00;3,62;420,00
EXITO     ;19/01/2022 00:00:00;9.171,00;109.403.000,00;12.000,00;12.000,00;11.929,23;11.830,00;-,17;-20,00
EXITO     ;20/01/2022 00:00:00;23.864,00;279.037.080,00;11.600,00;11.950,00;11.692,80;11.600,00;-3,33;-400,00
EXITO     ;21/01/2022 00:00:00;,00;,00;11.600,00;,00;,00;,00;,00;,00
EXITO     ;24/01/2022 00:00:00;2.360,00;27.731.500,00;11.800,00;11.800,00;11.750,64;11.800,00;1,72;200,00
EXITO     ;25/01/2022 00:00:00;13.397,00;158.713.320,00;11.900,00;11.900,00;11.846,93;11.800,00;,85;100,00
EXITO     ;26/01/2022 00:00:00;1.254,00;14.783.210,00;11.800,00;11.800,00;11.788,84;11.800,00;-,84;-100,00
EXITO     ;27/01/2022 00:00:00;4.375,00;51.521.560,00;11.720,00;11.950,00;11.776,36;11.720,00;-,68;-80,00
EXITO     ;28/01/2022 00:00:00;2.648,00;31.580.720,00;11.930,00;11.940,00;11.926,25;11.930,00;1,79;210,00
EXITO     ;31/01/2022 00:00:00;15.200,00;181.186.300,00;11.950,00;11.950,00;11.920,15;11.800,00;,17;20,00
EXITO     ;01/02/2022 00:00:00;11.205,00;132.334.500,00;11.800,00;11.950,00;11.810,31;11.800,00;-1,26;-150,00
EXITO     ;02/02/2022 00:00:00;13.000,00;151.899.800,00;11.680,00;11.700,00;11.684,60;11.680,00;-1,02;-120,00
EXITO     ;03/02/2022 00:00:00;1.610,00;18.756.500,00;11.650,00;11.650,00;11.650,00;11.650,00;-,26;-30,00
EXITO     ;04/02/2022 00:00:00;5.838,00;67.996.100,00;11.690,00;11.690,00;11.647,16;11.550,00;,34;40,00
EXITO     ;07/02/2022 00:00:00;,00;,00;11.690,00;,00;,00;,00;,00;,00
EXITO     ;08/02/2022 00:00:00;5.583,00;64.230.330,00;11.500,00;11.510,00;11.504,63;11.500,00;-1,63;-190,00
EXITO     ;09/02/2022 00:00:00;23.949,00;271.365.240,00;11.690,00;11.690,00;11.330,96;11.190,00;1,65;190,00
EXITO     ;10/02/2022 00:00:00;1.038,00;11.646.360,00;11.690,00;,00;11.220,00;,00;,00;,00
EXITO     ;11/02/2022 00:00:00;300,00;3.366.000,00;11.690,00;,00;11.220,00;,00;,00;,00
EXITO     ;14/02/2022 00:00:00;1.631,00;18.569.230,00;11.570,00;11.570,00;11.385,18;11.250,00;-1,03;-120,00
EXITO     ;15/02/2022 00:00:00;14.088,00;157.924.280,00;11.220,00;11.250,00;11.209,84;11.200,00;-3,03;-350,00
EXITO     ;16/02/2022 00:00:00;6.797,00;76.445.720,00;11.480,00;11.480,00;11.246,98;11.210,00;2,32;260,00
EXITO     ;17/02/2022 00:00:00;3.460,00;39.444.000,00;11.400,00;11.400,00;11.400,00;11.400,00;-,70;-80,00
EXITO     ;18/02/2022 00:00:00;44.464,00;531.646.640,00;12.000,00;12.300,00;11.956,79;11.550,00;5,26;600,00
EXITO     ;21/02/2022 00:00:00;10.734,00;128.176.090,00;11.970,00;12.060,00;11.941,13;11.800,00;-,25;-30,00
EXITO     ;22/02/2022 00:00:00;188.303,00;2.613.831.830,00;14.450,00;14.500,00;13.880,99;12.000,00;20,72;2.480,00
EXITO     ;23/02/2022 00:00:00;29.653,00;428.842.210,00;14.500,00;14.680,00;14.462,02;14.320,00;,35;50,00
EXITO     ;24/02/2022 00:00:00;22.667,00;323.784.950,00;14.480,00;14.500,00;14.284,42;14.000,00;-,14;-20,00
EXITO     ;25/02/2022 00:00:00;68.079,00;1.010.766.110,00;15.230,00;15.270,00;14.846,96;14.500,00;5,18;750,00
EXITO     ;28/02/2022 00:00:00;34.594,00;524.302.350,00;15.100,00;15.290,00;15.155,88;15.000,00;-,85;-130,00
EXITO     ;01/03/2022 00:00:00;12.677,00;192.471.450,00;15.250,00;15.250,00;15.182,73;15.190,00;,99;150,00
EXITO     ;02/03/2022 00:00:00;15.801,00;241.393.780,00;15.480,00;15.480,00;15.277,12;15.000,00;1,51;230,00
