Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
GRUBOLIVAR;03/01/2022 00:00:00;44,00;3.323.200,00;76.750,00;,00;75.527,27;,00;,00;,00
GRUBOLIVAR;04/01/2022 00:00:00;204,00;15.659.070,00;76.750,00;76.750,00;76.760,15;76.750,00;,00;,00
GRUBOLIVAR;05/01/2022 00:00:00;187,00;14.362.150,00;76.800,00;76.800,00;76.802,94;76.800,00;,07;50,00
GRUBOLIVAR;06/01/2022 00:00:00;7,00;538.360,00;76.800,00;,00;76.908,57;,00;,00;,00
GRUBOLIVAR;07/01/2022 00:00:00;16,00;1.171.300,00;76.800,00;,00;73.206,25;,00;,00;,00
GRUBOLIVAR;11/01/2022 00:00:00;499,00;38.341.570,00;76.990,00;76.990,00;76.836,81;76.900,00;,25;190,00
GRUBOLIVAR;12/01/2022 00:00:00;515,00;39.652.760,00;77.000,00;77.000,00;76.995,65;77.000,00;,01;10,00
GRUBOLIVAR;13/01/2022 00:00:00;34.545,00;2.656.733.730,00;77.990,00;77.990,00;76.906,46;76.000,00;1,29;990,00
GRUBOLIVAR;14/01/2022 00:00:00;4.331,00;336.275.820,00;78.000,00;78.000,00;77.643,92;76.120,00;,01;10,00
GRUBOLIVAR;17/01/2022 00:00:00;6.477,00;517.987.470,00;80.000,00;80.000,00;79.973,36;79.850,00;2,56;2.000,00
GRUBOLIVAR;18/01/2022 00:00:00;27.626,00;2.231.818.390,00;81.000,00;82.000,00;80.786,88;80.000,00;1,25;1.000,00
GRUBOLIVAR;19/01/2022 00:00:00;4.332,00;351.506.010,00;81.500,00;81.500,00;81.141,74;81.000,00;,62;500,00
GRUBOLIVAR;20/01/2022 00:00:00;2.281,00;186.069.860,00;81.980,00;81.980,00;81.573,81;81.500,00;,59;480,00
GRUBOLIVAR;21/01/2022 00:00:00;45.335,00;3.733.304.480,00;82.800,00;82.800,00;82.349,28;81.980,00;1,00;820,00
GRUBOLIVAR;24/01/2022 00:00:00;1.043,00;86.111.000,00;82.600,00;82.600,00;82.560,88;82.500,00;-,24;-200,00
GRUBOLIVAR;25/01/2022 00:00:00;1.806,00;151.463.240,00;87.800,00;87.800,00;83.866,69;82.550,00;6,30;5.200,00
GRUBOLIVAR;26/01/2022 00:00:00;4.283,00;371.645.600,00;87.100,00;87.100,00;86.772,26;86.500,00;-,80;-700,00
GRUBOLIVAR;27/01/2022 00:00:00;220,00;19.348.600,00;87.100,00;,00;87.948,18;,00;,00;,00
GRUBOLIVAR;28/01/2022 00:00:00;1.015,00;88.449.820,00;87.100,00;87.100,00;87.142,68;87.000,00;,00;,00
GRUBOLIVAR;31/01/2022 00:00:00;4.185,00;357.038.390,00;88.890,00;88.890,00;85.313,83;85.010,00;2,06;1.790,00
GRUBOLIVAR;01/02/2022 00:00:00;1.912,00;169.985.930,00;89.000,00;89.000,00;88.904,78;88.890,00;,12;110,00
GRUBOLIVAR;02/02/2022 00:00:00;1.739,00;154.938.240,00;89.200,00;89.000,00;89.096,17;89.000,00;,22;200,00
GRUBOLIVAR;03/02/2022 00:00:00;1.396,00;123.959.620,00;89.200,00;89.200,00;88.796,29;88.000,00;,00;,00
GRUBOLIVAR;04/02/2022 00:00:00;3.354,00;300.594.650,00;90.000,00;90.000,00;89.622,73;89.000,00;,90;800,00
GRUBOLIVAR;07/02/2022 00:00:00;1.790,00;161.344.830,00;90.230,00;90.290,00;90.136,78;89.010,00;,26;230,00
GRUBOLIVAR;08/02/2022 00:00:00;4.748,00;434.875.480,00;92.000,00;92.000,00;91.591,30;90.400,00;1,96;1.770,00
GRUBOLIVAR;09/02/2022 00:00:00;2.031,00;181.861.090,00;89.940,00;91.800,00;89.542,63;89.500,00;-2,24;-2.060,00
GRUBOLIVAR;10/02/2022 00:00:00;4.638,00;399.493.800,00;89.800,00;89.900,00;86.134,93;84.500,00;-,16;-140,00
GRUBOLIVAR;11/02/2022 00:00:00;1.578,00;133.398.470,00;84.600,00;84.600,00;84.536,42;84.000,00;-5,79;-5.200,00
GRUBOLIVAR;14/02/2022 00:00:00;407,00;33.939.280,00;82.130,00;82.130,00;83.388,89;82.130,00;-2,92;-2.470,00
GRUBOLIVAR;15/02/2022 00:00:00;24,00;2.097.210,00;82.130,00;,00;87.383,75;,00;,00;,00
GRUBOLIVAR;16/02/2022 00:00:00;3.128,00;253.271.240,00;79.700,00;81.300,00;80.969,07;79.700,00;-2,96;-2.430,00
GRUBOLIVAR;17/02/2022 00:00:00;1.528,00;121.871.170,00;78.720,00;81.970,00;79.758,62;78.720,00;-1,23;-980,00
GRUBOLIVAR;18/02/2022 00:00:00;1.640,00;129.765.320,00;79.300,00;79.300,00;79.125,20;78.720,00;,74;580,00
GRUBOLIVAR;21/02/2022 00:00:00;1.989,00;159.266.200,00;80.210,00;80.210,00;80.073,50;80.000,00;1,15;910,00
GRUBOLIVAR;22/02/2022 00:00:00;982,00;78.821.120,00;80.210,00;80.230,00;80.265,91;80.210,00;,00;,00
GRUBOLIVAR;23/02/2022 00:00:00;1.699,00;136.014.990,00;80.000,00;80.210,00;80.055,91;80.000,00;-,26;-210,00
GRUBOLIVAR;24/02/2022 00:00:00;2.617,00;209.366.760,00;80.000,00;80.000,00;80.002,58;80.000,00;,00;,00
GRUBOLIVAR;25/02/2022 00:00:00;1.608,00;128.640.720,00;80.000,00;80.000,00;80.000,45;80.000,00;,00;,00
GRUBOLIVAR;28/02/2022 00:00:00;575,00;46.062.590,00;80.010,00;80.010,00;80.108,85;80.000,00;,01;10,00
GRUBOLIVAR;01/03/2022 00:00:00;3.759,00;300.836.130,00;80.000,00;80.010,00;80.030,89;80.000,00;-,01;-10,00
GRUBOLIVAR;02/03/2022 00:00:00;1.854,00;148.345.150,00;80.010,00;80.010,00;80.013,57;80.000,00;,01;10,00
GRUBOLIVAR;03/03/2022 00:00:00;8.060,00;644.816.910,00;80.000,00;80.010,00;80.002,10;80.000,00;-,01;-10,00
