Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
GRUPOAVAL ;03/01/2022 00:00:00;157.321,00;163.104.630,00;1.030,00;1.041,00;1.036,76;1.030,00;-2,28;-24,00
GRUPOAVAL ;04/01/2022 00:00:00;4.048,00;4.209.920,00;1.030,00;,00;1.040,00;,00;,00;,00
GRUPOAVAL ;05/01/2022 00:00:00;48.960,00;51.408.000,00;1.050,00;1.050,00;1.050,00;1.050,00;1,94;20,00
GRUPOAVAL ;06/01/2022 00:00:00;159.714,00;164.633.995,00;1.030,00;1.031,00;1.030,81;1.030,00;-1,90;-20,00
GRUPOAVAL ;07/01/2022 00:00:00;,00;,00;1.030,00;,00;,00;,00;,00;,00
GRUPOAVAL ;11/01/2022 00:00:00;68.053,00;71.630.855,00;1.060,00;1.060,00;1.052,57;1.036,00;2,91;30,00
GRUPOAVAL ;12/01/2022 00:00:00;101.013,00;110.219.783,00;1.100,00;1.100,00;1.091,14;1.085,00;3,77;40,00
GRUPOAVAL ;13/01/2022 00:00:00;30.164,00;32.878.760,00;1.090,00;1.090,00;1.090,00;1.090,00;-,91;-10,00
GRUPOAVAL ;14/01/2022 00:00:00;36.957,00;39.086.574,00;1.058,00;1.058,00;1.057,62;1.058,00;-2,94;-32,00
GRUPOAVAL ;17/01/2022 00:00:00;155.392,00;169.833.952,00;1.110,00;1.110,00;1.092,94;1.075,00;4,91;52,00
GRUPOAVAL ;18/01/2022 00:00:00;380.765,00;435.037.829,00;1.156,00;1.156,00;1.142,54;1.134,00;4,14;46,00
GRUPOAVAL ;19/01/2022 00:00:00;313.018,00;352.692.602,00;1.149,00;1.153,00;1.126,75;1.091,00;-,61;-7,00
GRUPOAVAL ;20/01/2022 00:00:00;129.139,00;146.027.661,00;1.130,00;1.180,00;1.130,78;1.116,00;-1,65;-19,00
GRUPOAVAL ;21/01/2022 00:00:00;168.460,00;183.156.332,00;1.080,00;1.110,00;1.087,24;1.080,00;-4,42;-50,00
GRUPOAVAL ;24/01/2022 00:00:00;11.569,00;12.471.382,00;1.078,00;1.078,00;1.078,00;1.078,00;-,19;-2,00
GRUPOAVAL ;25/01/2022 00:00:00;250.259,00;271.296.490,00;1.082,00;1.113,00;1.084,06;1.081,00;,37;4,00
GRUPOAVAL ;26/01/2022 00:00:00;50.713,00;55.669.814,00;1.119,00;1.119,00;1.097,74;1.091,00;3,42;37,00
GRUPOAVAL ;27/01/2022 00:00:00;12.146,00;13.509.456,00;1.119,00;,00;1.112,26;,00;,00;,00
GRUPOAVAL ;28/01/2022 00:00:00;1.013,00;1.124.430,00;1.119,00;,00;1.110,00;,00;,00;,00
GRUPOAVAL ;31/01/2022 00:00:00;57.115,00;63.909.372,00;1.124,00;1.124,00;1.118,96;1.088,00;,45;5,00
GRUPOAVAL ;01/02/2022 00:00:00;14.916,00;17.056.655,00;1.145,00;1.145,00;1.143,51;1.145,00;1,87;21,00
