Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
GRUPOSURA ;03/01/2022 00:00:00;154.716,00;4.621.415.720,00;29.900,00;30.000,00;29.870,32;29.600,00;-,33;-100,00
GRUPOSURA ;04/01/2022 00:00:00;299.898,00;9.036.430.760,00;30.200,00;30.300,00;30.131,68;29.900,00;1,00;300,00
GRUPOSURA ;05/01/2022 00:00:00;599.012,00;17.786.537.570,00;28.940,00;30.080,00;29.693,12;28.940,00;-4,17;-1.260,00
GRUPOSURA ;06/01/2022 00:00:00;785.568,00;22.048.238.260,00;28.690,00;29.290,00;28.066,62;27.500,00;-,86;-250,00
GRUPOSURA ;07/01/2022 00:00:00;212.202,00;6.041.253.910,00;29.120,00;29.120,00;28.469,35;27.030,00;1,50;430,00
GRUPOSURA ;11/01/2022 00:00:00;214.427,00;6.434.062.320,00;30.420,00;30.420,00;30.005,84;28.500,00;4,46;1.300,00
GRUPOSURA ;12/01/2022 00:00:00;90.637,00;2.771.755.080,00;31.000,00;31.000,00;30.580,83;29.000,00;1,91;580,00
GRUPOSURA ;13/01/2022 00:00:00;161.476,00;4.884.686.690,00;30.220,00;31.000,00;30.250,23;29.920,00;-2,52;-780,00
GRUPOSURA ;14/01/2022 00:00:00;123.122.308,00;3.874.652.063.216,70;27.250,00;30.110,00;27.348,40;27.250,00;-9,83;-2.970,00
GRUPOSURA ;17/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;18/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;19/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;20/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;21/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;24/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;25/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;26/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;27/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;28/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;31/01/2022 00:00:00;,00;,00;27.250,00;,00;,00;,00;,00;,00
GRUPOSURA ;01/02/2022 00:00:00;2.864.357,00;103.911.890.760,00;36.420,00;36.800,00;36.277,56;32.350,00;33,65;9.170,00
GRUPOSURA ;02/02/2022 00:00:00;593.815,00;21.618.691.770,00;36.390,00;36.790,00;36.406,44;36.310,00;-,08;-30,00
GRUPOSURA ;03/02/2022 00:00:00;646.338,00;23.099.800.160,00;35.360,00;36.460,00;35.739,50;35.360,00;-2,83;-1.030,00
GRUPOSURA ;04/02/2022 00:00:00;1.741.271,00;63.459.321.790,00;36.770,00;36.770,00;36.444,25;35.490,00;3,99;1.410,00
GRUPOSURA ;07/02/2022 00:00:00;203.219,00;7.558.496.760,00;37.200,00;37.390,00;37.193,85;36.800,00;1,17;430,00
GRUPOSURA ;08/02/2022 00:00:00;291.721,00;10.865.718.700,00;37.180,00;37.590,00;37.246,95;37.110,00;-,05;-20,00
GRUPOSURA ;09/02/2022 00:00:00;592.357,00;21.956.727.490,00;36.800,00;37.180,00;37.066,71;36.800,00;-1,02;-380,00
GRUPOSURA ;10/02/2022 00:00:00;233.258,00;8.515.362.990,00;36.690,00;36.800,00;36.506,20;36.320,00;-,30;-110,00
GRUPOSURA ;11/02/2022 00:00:00;336.761,00;12.318.710.490,00;36.620,00;36.990,00;36.579,98;36.050,00;-,19;-70,00
GRUPOSURA ;14/02/2022 00:00:00;285.402,00;10.302.653.590,00;35.900,00;36.400,00;36.098,74;35.900,00;-1,97;-720,00
GRUPOSURA ;15/02/2022 00:00:00;230.296,00;8.234.950.940,00;36.180,00;36.200,00;35.758,12;35.500,00;,78;280,00
GRUPOSURA ;16/02/2022 00:00:00;125.456,00;4.556.156.970,00;36.500,00;36.500,00;36.316,77;36.000,00;,88;320,00
GRUPOSURA ;17/02/2022 00:00:00;161.195,00;5.860.234.030,00;36.470,00;36.470,00;36.354,94;36.010,00;-,08;-30,00
GRUPOSURA ;18/02/2022 00:00:00;170.017,00;6.085.688.520,00;35.800,00;36.470,00;35.794,59;35.360,00;-1,84;-670,00
GRUPOSURA ;21/02/2022 00:00:00;34.466,00;1.234.286.450,00;35.800,00;35.910,00;35.811,71;35.700,00;,00;,00
GRUPOSURA ;22/02/2022 00:00:00;267.240,00;9.571.383.630,00;35.800,00;36.000,00;35.815,68;35.800,00;,00;,00
GRUPOSURA ;23/02/2022 00:00:00;316.184,00;11.357.353.230,00;36.000,00;36.160,00;35.920,08;35.700,00;,56;200,00
GRUPOSURA ;24/02/2022 00:00:00;76.297,00;2.747.004.410,00;36.280,00;36.400,00;36.004,09;35.800,00;,78;280,00
GRUPOSURA ;25/02/2022 00:00:00;718.347,00;25.698.848.050,00;35.500,00;36.270,00;35.774,98;35.390,00;-2,15;-780,00
