Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
ISA       ;03/01/2022 00:00:00;35.991,00;809.106.060,00;22.490,00;22.510,00;22.480,79;22.340,00;,40;90,00
ISA       ;04/01/2022 00:00:00;47.146,00;1.063.484.820,00;22.600,00;22.600,00;22.557,27;22.460,00;,49;110,00
ISA       ;05/01/2022 00:00:00;291.116,00;6.557.069.060,00;22.750,00;22.750,00;22.523,90;22.400,00;,66;150,00
ISA       ;06/01/2022 00:00:00;195.018,00;4.400.470.510,00;22.620,00;22.750,00;22.564,43;21.800,00;-,57;-130,00
ISA       ;07/01/2022 00:00:00;137.339,00;3.042.514.500,00;21.700,00;22.640,00;22.153,32;21.700,00;-4,07;-920,00
ISA       ;11/01/2022 00:00:00;252.133,00;5.625.403.560,00;22.400,00;22.400,00;22.311,25;22.020,00;3,23;700,00
ISA       ;12/01/2022 00:00:00;238.890,00;5.428.768.110,00;22.800,00;22.850,00;22.724,97;22.490,00;1,79;400,00
ISA       ;13/01/2022 00:00:00;644.200,00;14.793.494.270,00;23.100,00;23.250,00;22.964,13;22.610,00;1,32;300,00
ISA       ;14/01/2022 00:00:00;866.718,00;20.071.294.790,00;22.860,00;23.800,00;23.157,81;22.860,00;-1,04;-240,00
ISA       ;17/01/2022 00:00:00;713.104,00;16.994.823.870,00;23.950,00;24.140,00;23.832,18;23.410,00;4,77;1.090,00
ISA       ;18/01/2022 00:00:00;1.616.851,00;40.266.660.020,00;24.990,00;25.000,00;24.904,37;23.990,00;4,34;1.040,00
ISA       ;19/01/2022 00:00:00;990.693,00;24.913.650.160,00;25.100,00;25.700,00;25.147,70;24.850,00;,44;110,00
ISA       ;20/01/2022 00:00:00;145.424,00;3.618.630.620,00;24.900,00;25.000,00;24.883,31;24.600,00;-,80;-200,00
ISA       ;21/01/2022 00:00:00;255.820,00;6.241.518.620,00;24.160,00;24.780,00;24.398,09;24.110,00;-2,97;-740,00
ISA       ;24/01/2022 00:00:00;116.636,00;2.818.886.890,00;24.200,00;24.450,00;24.168,24;24.020,00;,17;40,00
ISA       ;25/01/2022 00:00:00;385.021,00;9.199.183.030,00;23.800,00;24.380,00;23.892,68;23.670,00;-1,65;-400,00
ISA       ;26/01/2022 00:00:00;308.665,00;7.378.312.320,00;23.810,00;24.270,00;23.903,95;23.680,00;,04;10,00
