Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
MINEROS   ;03/01/2022 00:00:00;15.466,00;56.601.958,00;3.660,00;3.660,00;3.659,77;3.660,00;,69;25,00
MINEROS   ;04/01/2022 00:00:00;14.551,00;53.624.439,00;3.699,00;3.699,00;3.685,28;3.660,00;1,07;39,00
MINEROS   ;05/01/2022 00:00:00;38.086,00;140.179.551,00;3.665,00;3.695,00;3.680,61;3.665,00;-,92;-34,00
MINEROS   ;06/01/2022 00:00:00;79.146,00;285.086.432,00;3.565,00;3.660,00;3.602,03;3.551,00;-2,73;-100,00
MINEROS   ;07/01/2022 00:00:00;24.619,00;88.331.558,00;3.570,00;3.600,00;3.587,94;3.570,00;,14;5,00
MINEROS   ;11/01/2022 00:00:00;24.656,00;88.445.151,00;3.600,00;3.600,00;3.587,17;3.575,00;,84;30,00
MINEROS   ;12/01/2022 00:00:00;59.201,00;213.711.886,00;3.600,00;3.625,00;3.609,94;3.600,00;,00;,00
MINEROS   ;13/01/2022 00:00:00;142.790,00;515.415.016,00;3.605,00;3.630,00;3.609,60;3.605,00;,14;5,00
MINEROS   ;14/01/2022 00:00:00;111.014,00;399.954.112,00;3.605,00;3.608,00;3.602,74;3.586,00;,00;,00
MINEROS   ;17/01/2022 00:00:00;204.850,00;751.400.731,00;3.700,00;3.700,00;3.668,05;3.585,00;2,64;95,00
MINEROS   ;18/01/2022 00:00:00;490.732,00;1.845.934.218,00;3.798,00;3.798,00;3.761,59;3.650,00;2,65;98,00
MINEROS   ;19/01/2022 00:00:00;380.428,00;1.451.021.434,00;3.860,00;3.860,00;3.814,18;3.730,00;1,63;62,00
MINEROS   ;20/01/2022 00:00:00;290.039,00;1.114.049.466,00;3.850,00;3.860,00;3.841,03;3.810,00;-,26;-10,00
MINEROS   ;21/01/2022 00:00:00;117.639,00;443.209.720,00;3.790,00;3.790,00;3.767,54;3.750,00;-1,56;-60,00
MINEROS   ;24/01/2022 00:00:00;41.469,00;156.529.441,00;3.785,00;3.790,00;3.774,61;3.760,00;-,13;-5,00
MINEROS   ;25/01/2022 00:00:00;52.978,00;200.285.355,00;3.790,00;3.791,00;3.780,54;3.765,00;,13;5,00
MINEROS   ;26/01/2022 00:00:00;243.389,00;912.651.959,00;3.775,00;3.780,00;3.749,77;3.740,00;-,40;-15,00
MINEROS   ;27/01/2022 00:00:00;65.503,00;247.279.438,00;3.790,00;3.790,00;3.775,09;3.750,00;,40;15,00
MINEROS   ;28/01/2022 00:00:00;146.252,00;547.841.514,00;3.760,00;3.780,00;3.745,87;3.701,00;-,79;-30,00
MINEROS   ;31/01/2022 00:00:00;23.483,00;88.191.213,00;3.750,00;3.760,00;3.755,53;3.750,00;-,27;-10,00
MINEROS   ;01/02/2022 00:00:00;103.002,00;385.917.141,00;3.725,00;3.780,00;3.746,70;3.720,00;-,67;-25,00
MINEROS   ;02/02/2022 00:00:00;84.851,00;313.183.581,00;3.675,00;3.725,00;3.690,98;3.675,00;-1,34;-50,00
MINEROS   ;03/02/2022 00:00:00;80.461,00;300.469.411,00;3.727,00;3.750,00;3.734,35;3.723,00;1,41;52,00
MINEROS   ;04/02/2022 00:00:00;61.113,00;226.613.805,00;3.700,00;3.724,00;3.708,11;3.700,00;-,72;-27,00
MINEROS   ;07/02/2022 00:00:00;35.117,00;129.873.427,00;3.709,00;3.709,00;3.698,31;3.690,00;,24;9,00
MINEROS   ;08/02/2022 00:00:00;99.225,00;366.343.264,00;3.680,00;3.720,00;3.692,05;3.680,00;-,78;-29,00
MINEROS   ;09/02/2022 00:00:00;338.837,00;1.230.313.810,00;3.610,00;3.690,00;3.630,99;3.600,00;-1,90;-70,00
MINEROS   ;10/02/2022 00:00:00;232.086,00;826.808.630,00;3.540,00;3.612,00;3.562,51;3.535,00;-1,94;-70,00
