Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
NUTRESA   ;03/01/2022 00:00:00;24.464,00;698.180.700,00;28.380,00;28.700,00;28.539,11;28.340,00;-,91;-260,00
NUTRESA   ;04/01/2022 00:00:00;66.986,00;1.906.407.960,00;28.350,00;28.500,00;28.459,80;28.350,00;-,11;-30,00
NUTRESA   ;05/01/2022 00:00:00;320.211,00;9.059.314.740,00;28.300,00;28.400,00;28.291,70;28.130,00;-,18;-50,00
NUTRESA   ;06/01/2022 00:00:00;207.713,00;5.906.471.790,00;28.500,00;28.700,00;28.435,73;28.180,00;,71;200,00
NUTRESA   ;07/01/2022 00:00:00;889.011,00;25.296.334.410,00;30.020,00;30.020,00;28.454,47;28.200,00;5,33;1.520,00
NUTRESA   ;11/01/2022 00:00:00;103.041,00;3.014.574.950,00;30.100,00;30.100,00;29.256,07;27.800,00;,27;80,00
NUTRESA   ;12/01/2022 00:00:00;35.837,00;1.071.477.110,00;30.000,00;30.500,00;29.898,63;28.960,00;-,33;-100,00
NUTRESA   ;13/01/2022 00:00:00;64.362,00;1.908.941.400,00;29.020,00;31.250,00;29.659,45;29.020,00;-3,27;-980,00
NUTRESA   ;14/01/2022 00:00:00;110.406,00;3.048.893.550,00;27.000,00;29.000,00;27.615,29;26.940,00;-6,96;-2.020,00
NUTRESA   ;17/01/2022 00:00:00;127.179.377,00;3.916.733.513.174,40;33.600,00;33.600,00;32.758,03;29.500,00;24,44;6.600,00
NUTRESA   ;18/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;19/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;20/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;21/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;24/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;25/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;26/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;27/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;28/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;31/01/2022 00:00:00;,00;,00;33.600,00;,00;,00;,00;,00;,00
NUTRESA   ;01/02/2022 00:00:00;87.504,00;3.549.999.680,00;40.680,00;41.000,00;40.569,57;40.010,00;21,07;7.080,00
NUTRESA   ;02/02/2022 00:00:00;67.208,00;2.711.970.930,00;40.400,00;40.720,00;40.351,91;40.110,00;-,69;-280,00
NUTRESA   ;03/02/2022 00:00:00;182.993,00;7.443.922.230,00;40.740,00;40.900,00;40.678,73;39.070,00;,84;340,00
NUTRESA   ;04/02/2022 00:00:00;136.532,00;5.568.978.000,00;40.860,00;40.900,00;40.788,81;40.230,00;,29;120,00
NUTRESA   ;07/02/2022 00:00:00;79.616,00;3.238.031.990,00;40.690,00;40.950,00;40.670,62;40.290,00;-,42;-170,00
NUTRESA   ;08/02/2022 00:00:00;48.671,00;1.978.903.270,00;40.790,00;40.800,00;40.658,78;40.600,00;,25;100,00
NUTRESA   ;09/02/2022 00:00:00;85.751,00;3.484.629.350,00;40.750,00;40.750,00;40.636,60;40.380,00;-,10;-40,00
NUTRESA   ;10/02/2022 00:00:00;166.099,00;6.762.148.650,00;40.610,00;40.750,00;40.711,56;40.600,00;-,34;-140,00
NUTRESA   ;11/02/2022 00:00:00;16.709,00;679.554.090,00;40.680,00;40.800,00;40.669,94;40.640,00;,17;70,00
