Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
PAZRIO    ;03/01/2022 00:00:00;,00;,00;13,99;,00;,00;,00;,00;,00
PAZRIO    ;04/01/2022 00:00:00;1.500.000,00;5.955.000,00;13,99;,00;3,97;,00;,00;,00
PAZRIO    ;05/01/2022 00:00:00;13.736.689,00;56.131.545,47;4,12;4,12;4,09;3,81;-70,55;-9,87
PAZRIO    ;06/01/2022 00:00:00;707,00;2.926,98;4,12;,00;4,14;,00;,00;,00
PAZRIO    ;07/01/2022 00:00:00;16.708,00;70.173,60;4,12;,00;4,20;,00;,00;,00
PAZRIO    ;11/01/2022 00:00:00;14.689.516,00;59.984.289,12;4,00;4,19;4,08;4,00;-2,91;-,12
PAZRIO    ;12/01/2022 00:00:00;5.201.170,00;20.806.680,00;4,00;4,00;4,00;4,00;,00;,00
PAZRIO    ;13/01/2022 00:00:00;15.327.016,00;64.801.304,80;5,00;5,00;4,23;4,10;25,00;1,00
PAZRIO    ;14/01/2022 00:00:00;6.539.230,00;32.026.541,90;5,00;5,00;4,90;5,00;,00;,00
PAZRIO    ;17/01/2022 00:00:00;20.516.722.748,00;74.886.038.030,20;5,00;,00;,00;,00;,00;,00
PAZRIO    ;18/01/2022 00:00:00;21.321.974,00;128.226.823,60;6,50;6,50;6,01;5,27;30,00;1,50
PAZRIO    ;19/01/2022 00:00:00;18.881.053,00;148.474.133,16;7,99;8,00;7,86;6,98;22,92;1,49
PAZRIO    ;20/01/2022 00:00:00;700.105,00;5.586.687,75;7,99;,00;7,98;,00;,00;,00
PAZRIO    ;21/01/2022 00:00:00;1.796.403,00;13.687.190,86;7,62;7,62;7,62;7,62;-4,63;-,37
PAZRIO    ;24/01/2022 00:00:00;1.844.961,00;12.223.641,82;7,62;,00;6,63;,00;,00;,00
PAZRIO    ;25/01/2022 00:00:00;405.443,00;3.004.332,63;7,62;,00;7,41;,00;,00;,00
PAZRIO    ;26/01/2022 00:00:00;,00;,00;7,62;,00;,00;,00;,00;,00
PAZRIO    ;27/01/2022 00:00:00;150.000,00;1.050.000,00;7,62;,00;7,00;,00;,00;,00
PAZRIO    ;28/01/2022 00:00:00;4.601.114,00;30.506.355,00;6,63;6,63;6,63;6,63;-12,99;-,99
PAZRIO    ;31/01/2022 00:00:00;477.886,00;3.584.145,00;6,63;,00;7,50;,00;,00;,00
PAZRIO    ;01/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;02/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;03/02/2022 00:00:00;500.000,00;3.575.000,00;6,63;,00;7,15;,00;,00;,00
PAZRIO    ;04/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;07/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;08/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;09/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;10/02/2022 00:00:00;250.000,00;1.750.000,00;6,63;,00;7,00;,00;,00;,00
PAZRIO    ;11/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;14/02/2022 00:00:00;,00;,00;6,63;,00;,00;,00;,00;,00
PAZRIO    ;15/02/2022 00:00:00;985.000,00;7.049.800,00;6,63;,00;7,16;,00;,00;,00
PAZRIO    ;16/02/2022 00:00:00;4.550.000,00;32.401.000,00;7,19;7,19;7,12;7,00;8,45;,56
PAZRIO    ;17/02/2022 00:00:00;1.855.000,00;13.040.000,00;7,01;7,01;7,03;7,01;-2,50;-,18
PAZRIO    ;18/02/2022 00:00:00;1.450.000,00;10.150.000,00;7,00;7,00;7,00;7,00;-,14;-,01
PAZRIO    ;21/02/2022 00:00:00;,00;,00;7,00;,00;,00;,00;,00;,00
PAZRIO    ;22/02/2022 00:00:00;,00;,00;7,00;,00;,00;,00;,00;,00
PAZRIO    ;23/02/2022 00:00:00;,00;,00;7,00;,00;,00;,00;,00;,00
PAZRIO    ;24/02/2022 00:00:00;985.000,00;5.910.000,00;7,00;,00;6,00;,00;,00;,00
PAZRIO    ;25/02/2022 00:00:00;,00;,00;7,00;,00;,00;,00;,00;,00
PAZRIO    ;28/02/2022 00:00:00;,00;,00;7,00;,00;,00;,00;,00;,00
