Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
PFBCOLOM  ;03/01/2022 00:00:00;138.577,00;4.476.732.490,00;32.120,00;32.780,00;32.305,02;32.000,00;,38;120,00
PFBCOLOM  ;04/01/2022 00:00:00;139.342,00;4.484.137.800,00;32.280,00;32.450,00;32.180,81;32.000,00;,50;160,00
PFBCOLOM  ;05/01/2022 00:00:00;308.068,00;9.724.837.690,00;31.450,00;32.280,00;31.567,18;31.200,00;-2,57;-830,00
PFBCOLOM  ;06/01/2022 00:00:00;442.994,00;13.698.544.710,00;31.080,00;31.530,00;30.922,64;30.400,00;-1,18;-370,00
PFBCOLOM  ;07/01/2022 00:00:00;191.869,00;5.958.512.920,00;30.940,00;31.400,00;31.055,11;30.900,00;-,45;-140,00
PFBCOLOM  ;11/01/2022 00:00:00;696.577,00;21.715.478.280,00;31.600,00;31.820,00;31.174,56;30.560,00;2,13;660,00
PFBCOLOM  ;12/01/2022 00:00:00;775.907,00;25.285.281.180,00;32.650,00;32.900,00;32.588,03;31.720,00;3,32;1.050,00
PFBCOLOM  ;13/01/2022 00:00:00;1.518.636,00;50.485.428.420,00;33.480,00;34.170,00;33.243,93;32.200,00;2,54;830,00
PFBCOLOM  ;14/01/2022 00:00:00;2.031.444,00;67.623.132.070,00;33.200,00;33.560,00;33.288,21;32.850,00;-,84;-280,00
PFBCOLOM  ;17/01/2022 00:00:00;2.084.574,00;72.921.513.940,00;35.000,00;35.250,00;34.981,49;33.800,00;5,42;1.800,00
PFBCOLOM  ;18/01/2022 00:00:00;2.684.918,00;97.305.937.250,00;36.000,00;36.960,00;36.241,68;34.500,00;2,86;1.000,00
PFBCOLOM  ;19/01/2022 00:00:00;2.008.946,00;72.201.208.240,00;36.180,00;36.480,00;35.939,85;35.010,00;,50;180,00
PFBCOLOM  ;20/01/2022 00:00:00;824.434,00;29.164.410.790,00;34.900,00;36.200,00;35.375,07;34.900,00;-3,54;-1.280,00
PFBCOLOM  ;21/01/2022 00:00:00;765.873,00;26.464.040.500,00;34.700,00;34.840,00;34.554,08;34.300,00;-,57;-200,00
PFBCOLOM  ;24/01/2022 00:00:00;498.920,00;17.157.918.140,00;34.450,00;34.530,00;34.390,12;34.200,00;-,72;-250,00
PFBCOLOM  ;25/01/2022 00:00:00;516.963,00;17.804.234.530,00;34.590,00;34.790,00;34.440,06;34.110,00;,41;140,00
PFBCOLOM  ;26/01/2022 00:00:00;601.242,00;20.786.962.650,00;34.380,00;35.000,00;34.573,37;34.380,00;-,61;-210,00
PFBCOLOM  ;27/01/2022 00:00:00;461.552,00;15.803.626.910,00;34.200,00;34.740,00;34.240,19;34.030,00;-,52;-180,00
PFBCOLOM  ;28/01/2022 00:00:00;983.464,00;34.417.252.860,00;35.200,00;35.220,00;34.995,95;34.280,00;2,92;1.000,00
PFBCOLOM  ;31/01/2022 00:00:00;340.040,00;11.938.164.110,00;35.240,00;35.400,00;35.108,12;34.640,00;,11;40,00
PFBCOLOM  ;01/02/2022 00:00:00;420.374,00;14.601.187.590,00;34.670,00;35.500,00;34.733,80;34.500,00;-1,62;-570,00
PFBCOLOM  ;02/02/2022 00:00:00;555.812,00;19.426.260.890,00;34.940,00;35.100,00;34.951,14;34.410,00;,78;270,00
PFBCOLOM  ;03/02/2022 00:00:00;356.000,00;12.456.433.220,00;34.960,00;35.200,00;34.989,98;34.700,00;,06;20,00
PFBCOLOM  ;04/02/2022 00:00:00;208.492,00;7.291.072.580,00;34.710,00;35.100,00;34.970,51;34.710,00;-,72;-250,00
PFBCOLOM  ;07/02/2022 00:00:00;313.729,00;11.112.618.360,00;35.500,00;35.600,00;35.421,07;35.100,00;2,28;790,00
PFBCOLOM  ;08/02/2022 00:00:00;411.150,00;14.345.066.690,00;35.000,00;35.500,00;34.890,11;34.520,00;-1,41;-500,00
PFBCOLOM  ;09/02/2022 00:00:00;310.203,00;10.815.610.780,00;34.670,00;35.380,00;34.866,24;34.530,00;-,94;-330,00
PFBCOLOM  ;10/02/2022 00:00:00;656.601,00;22.404.289.310,00;33.800,00;34.610,00;34.121,62;33.650,00;-2,51;-870,00
PFBCOLOM  ;11/02/2022 00:00:00;805.784,00;26.994.950.570,00;33.200,00;34.110,00;33.501,47;33.010,00;-1,78;-600,00
PFBCOLOM  ;14/02/2022 00:00:00;269.161,00;8.980.569.610,00;33.330,00;33.590,00;33.365,05;33.020,00;,39;130,00
PFBCOLOM  ;15/02/2022 00:00:00;284.308,00;9.552.253.840,00;33.690,00;33.840,00;33.598,26;33.350,00;1,08;360,00
PFBCOLOM  ;16/02/2022 00:00:00;500.467,00;17.125.847.580,00;34.290,00;34.700,00;34.219,73;33.750,00;1,78;600,00
PFBCOLOM  ;17/02/2022 00:00:00;192.044,00;6.571.896.960,00;33.960,00;34.470,00;34.220,79;33.960,00;-,96;-330,00
PFBCOLOM  ;18/02/2022 00:00:00;437.081,00;14.795.135.810,00;33.650,00;34.170,00;33.849,87;33.500,00;-,91;-310,00
PFBCOLOM  ;21/02/2022 00:00:00;159.183,00;5.346.232.590,00;33.580,00;33.780,00;33.585,45;33.400,00;-,21;-70,00
PFBCOLOM  ;22/02/2022 00:00:00;692.011,00;23.299.650.460,00;33.700,00;33.930,00;33.669,48;33.500,00;,36;120,00
PFBCOLOM  ;23/02/2022 00:00:00;1.390.587,00;48.630.937.710,00;34.500,00;35.490,00;34.971,52;34.170,00;2,37;800,00
PFBCOLOM  ;24/02/2022 00:00:00;730.115,00;24.873.260.860,00;34.180,00;34.300,00;34.067,59;33.770,00;-,93;-320,00
PFBCOLOM  ;25/02/2022 00:00:00;449.351,00;15.423.698.300,00;34.600,00;34.700,00;34.324,39;34.050,00;1,23;420,00
PFBCOLOM  ;28/02/2022 00:00:00;2.322.424,00;81.499.727.600,00;34.800,00;35.690,00;35.092,53;34.090,00;,58;200,00
PFBCOLOM  ;01/03/2022 00:00:00;1.357.224,00;48.551.574.900,00;35.950,00;36.100,00;35.772,71;35.140,00;3,30;1.150,00
PFBCOLOM  ;02/03/2022 00:00:00;936.077,00;33.698.956.400,00;36.000,00;36.400,00;36.000,20;35.540,00;,14;50,00
PFBCOLOM  ;03/03/2022 00:00:00;1.058.014,00;38.274.057.460,00;35.880,00;36.500,00;36.175,38;35.790,00;-,33;-120,00
PFBCOLOM  ;04/03/2022 00:00:00;586.729,00;21.017.219.200,00;36.130,00;36.200,00;35.821,00;35.290,00;,70;250,00
