Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
PFDAVVNDA ;03/01/2022 00:00:00;11.094,00;355.131.570,00;32.020,00;32.020,00;32.011,14;32.000,00;,69;220,00
PFDAVVNDA ;04/01/2022 00:00:00;4.202,00;135.617.620,00;32.300,00;32.300,00;32.274,54;32.250,00;,87;280,00
PFDAVVNDA ;05/01/2022 00:00:00;87.338,00;2.804.493.600,00;31.700,00;32.450,00;32.110,81;31.700,00;-1,86;-600,00
PFDAVVNDA ;06/01/2022 00:00:00;15.286,00;475.070.450,00;31.000,00;32.000,00;31.078,79;30.550,00;-2,21;-700,00
PFDAVVNDA ;07/01/2022 00:00:00;18.536,00;575.638.680,00;31.060,00;31.080,00;31.055,17;31.000,00;,19;60,00
PFDAVVNDA ;11/01/2022 00:00:00;8.007,00;250.213.390,00;31.500,00;31.500,00;31.249,33;31.050,00;1,42;440,00
PFDAVVNDA ;12/01/2022 00:00:00;38.150,00;1.221.503.800,00;32.130,00;32.280,00;32.018,45;31.500,00;2,00;630,00
PFDAVVNDA ;13/01/2022 00:00:00;88.978,00;2.878.185.610,00;32.310,00;32.700,00;32.347,16;32.020,00;,56;180,00
PFDAVVNDA ;14/01/2022 00:00:00;91.543,00;2.930.283.460,00;31.900,00;32.470,00;32.009,91;31.900,00;-1,27;-410,00
PFDAVVNDA ;17/01/2022 00:00:00;587.263,00;19.459.781.690,00;33.300,00;33.300,00;33.136,40;31.990,00;4,39;1.400,00
PFDAVVNDA ;18/01/2022 00:00:00;505.442,00;17.299.447.290,00;34.000,00;34.700,00;34.226,37;33.600,00;2,10;700,00
PFDAVVNDA ;19/01/2022 00:00:00;219.396,00;7.422.742.060,00;33.550,00;34.500,00;33.832,62;33.450,00;-1,32;-450,00
PFDAVVNDA ;20/01/2022 00:00:00;58.708,00;1.936.479.110,00;32.500,00;33.990,00;32.984,93;32.500,00;-3,13;-1.050,00
PFDAVVNDA ;21/01/2022 00:00:00;60.724,00;1.983.201.430,00;32.420,00;33.000,00;32.659,27;32.300,00;-,25;-80,00
PFDAVVNDA ;24/01/2022 00:00:00;27.219,00;874.178.270,00;32.300,00;32.420,00;32.116,47;31.900,00;-,37;-120,00
PFDAVVNDA ;25/01/2022 00:00:00;34.178,00;1.101.090.230,00;32.470,00;32.470,00;32.216,34;31.900,00;,53;170,00
PFDAVVNDA ;26/01/2022 00:00:00;108.244,00;3.530.930.450,00;32.400,00;32.990,00;32.620,10;32.400,00;-,22;-70,00
PFDAVVNDA ;27/01/2022 00:00:00;107.069,00;3.463.805.690,00;32.310,00;32.600,00;32.351,15;32.020,00;-,28;-90,00
PFDAVVNDA ;28/01/2022 00:00:00;38.672,00;1.263.975.650,00;32.690,00;32.860,00;32.684,52;32.420,00;1,18;380,00
PFDAVVNDA ;31/01/2022 00:00:00;46.298,00;1.532.865.000,00;33.300,00;33.300,00;33.108,67;32.310,00;1,87;610,00
PFDAVVNDA ;01/02/2022 00:00:00;45.098,00;1.487.387.530,00;32.540,00;33.280,00;32.981,23;32.420,00;-2,28;-760,00
PFDAVVNDA ;02/02/2022 00:00:00;58.755,00;1.902.948.110,00;32.000,00;32.960,00;32.387,85;32.000,00;-1,66;-540,00
PFDAVVNDA ;03/02/2022 00:00:00;8.738,00;278.620.780,00;31.820,00;32.000,00;31.886,10;31.600,00;-,56;-180,00
PFDAVVNDA ;04/02/2022 00:00:00;41.551,00;1.327.255.630,00;31.750,00;32.780,00;31.942,81;31.750,00;-,22;-70,00
PFDAVVNDA ;07/02/2022 00:00:00;58.174,00;1.861.870.720,00;31.990,00;32.300,00;32.005,20;31.860,00;,76;240,00
PFDAVVNDA ;08/02/2022 00:00:00;61.405,00;1.947.822.180,00;31.500,00;32.090,00;31.720,91;31.500,00;-1,53;-490,00
PFDAVVNDA ;09/02/2022 00:00:00;73.652,00;2.336.866.300,00;31.530,00;31.900,00;31.728,48;31.510,00;,10;30,00
PFDAVVNDA ;10/02/2022 00:00:00;44.544,00;1.396.535.760,00;31.400,00;31.510,00;31.351,83;31.100,00;-,41;-130,00
PFDAVVNDA ;11/02/2022 00:00:00;13.889,00;433.683.000,00;31.730,00;31.730,00;31.224,93;31.050,00;1,05;330,00
PFDAVVNDA ;14/02/2022 00:00:00;89.817,00;2.831.733.780,00;31.760,00;31.780,00;31.527,82;31.460,00;,09;30,00
