Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
PROMIGAS  ;03/01/2022 00:00:00;5.219,00;37.054.700,00;7.100,00;7.100,00;7.099,96;7.100,00;,00;,00
PROMIGAS  ;04/01/2022 00:00:00;6.185,00;44.050.920,00;7.140,00;7.140,00;7.122,22;7.100,00;,56;40,00
PROMIGAS  ;05/01/2022 00:00:00;16.619,00;119.256.755,00;7.090,00;7.200,00;7.175,93;7.090,00;-,70;-50,00
PROMIGAS  ;06/01/2022 00:00:00;10.957,00;77.110.050,00;7.000,00;7.190,00;7.037,51;7.000,00;-1,27;-90,00
PROMIGAS  ;07/01/2022 00:00:00;4.725,00;33.183.005,00;7.000,00;7.080,00;7.022,86;7.000,00;,00;,00
PROMIGAS  ;11/01/2022 00:00:00;1.384,00;9.587.685,00;7.000,00;,00;6.927,52;,00;,00;,00
PROMIGAS  ;12/01/2022 00:00:00;40.320,00;282.630.300,00;7.000,00;7.040,00;7.009,68;7.000,00;,00;,00
PROMIGAS  ;13/01/2022 00:00:00;40.579,00;283.706.765,00;7.095,00;7.095,00;6.991,47;6.970,00;1,36;95,00
PROMIGAS  ;14/01/2022 00:00:00;61.660,00;445.436.400,00;7.320,00;7.320,00;7.224,07;7.015,00;3,17;225,00
PROMIGAS  ;17/01/2022 00:00:00;428.730,00;3.230.324.540,00;7.650,00;7.650,00;7.534,64;7.490,00;4,51;330,00
PROMIGAS  ;18/01/2022 00:00:00;368.672,00;2.859.625.835,00;7.760,00;7.800,00;7.756,56;7.650,00;1,44;110,00
PROMIGAS  ;19/01/2022 00:00:00;43.581,00;336.171.125,00;7.730,00;7.760,00;7.713,71;7.660,00;-,39;-30,00
PROMIGAS  ;20/01/2022 00:00:00;232.014,00;1.803.782.580,00;7.700,00;7.780,00;7.774,46;7.700,00;-,39;-30,00
PROMIGAS  ;21/01/2022 00:00:00;33.371,00;256.799.600,00;7.740,00;7.740,00;7.695,29;7.630,00;,52;40,00
PROMIGAS  ;24/01/2022 00:00:00;6.913,00;52.191.730,00;7.550,00;7.550,00;7.549,79;7.550,00;-2,45;-190,00
PROMIGAS  ;25/01/2022 00:00:00;10.451,00;78.565.700,00;7.500,00;7.510,00;7.517,53;7.500,00;-,66;-50,00
PROMIGAS  ;26/01/2022 00:00:00;123.187,00;936.249.300,00;7.600,00;7.600,00;7.600,23;7.600,00;1,33;100,00
PROMIGAS  ;27/01/2022 00:00:00;200.985,00;1.522.894.340,00;7.500,00;7.640,00;7.577,15;7.460,00;-1,32;-100,00
PROMIGAS  ;28/01/2022 00:00:00;27.890,00;207.953.270,00;7.400,00;7.500,00;7.456,19;7.365,00;-1,33;-100,00
PROMIGAS  ;31/01/2022 00:00:00;12.164,00;89.797.980,00;7.360,00;7.370,00;7.382,27;7.360,00;-,54;-40,00
PROMIGAS  ;01/02/2022 00:00:00;56.409,00;414.625.910,00;7.315,00;7.400,00;7.350,35;7.310,00;-,61;-45,00
PROMIGAS  ;02/02/2022 00:00:00;44.094,00;322.966.975,00;7.325,00;7.400,00;7.324,51;7.300,00;,14;10,00
PROMIGAS  ;03/02/2022 00:00:00;28.827,00;214.682.440,00;7.400,00;7.500,00;7.447,27;7.320,00;1,02;75,00
