Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
TERPEL    ;03/01/2022 00:00:00;21.177,00;218.317.460,00;10.310,00;10.380,00;10.309,18;9.950,00;-,29;-30,00
TERPEL    ;04/01/2022 00:00:00;18.755,00;193.646.370,00;10.330,00;10.330,00;10.325,05;10.300,00;,19;20,00
TERPEL    ;05/01/2022 00:00:00;29.196,00;302.819.940,00;10.330,00;10.430,00;10.371,97;10.330,00;,00;,00
TERPEL    ;06/01/2022 00:00:00;42.964,00;438.301.780,00;10.400,00;10.400,00;10.201,61;9.660,00;,68;70,00
TERPEL    ;07/01/2022 00:00:00;3.606,00;37.415.790,00;10.400,00;10.400,00;10.375,98;10.380,00;,00;,00
TERPEL    ;11/01/2022 00:00:00;30.954,00;321.881.990,00;10.400,00;10.410,00;10.398,72;10.390,00;,00;,00
TERPEL    ;12/01/2022 00:00:00;48.765,00;497.136.180,00;10.140,00;10.300,00;10.194,53;10.100,00;-2,50;-260,00
TERPEL    ;13/01/2022 00:00:00;41.048,00;417.360.860,00;10.100,00;10.290,00;10.167,63;10.100,00;-,39;-40,00
TERPEL    ;14/01/2022 00:00:00;27.831,00;281.093.310,00;10.100,00;10.120,00;10.100,01;10.050,00;,00;,00
TERPEL    ;17/01/2022 00:00:00;220.122,00;2.246.553.730,00;10.290,00;10.300,00;10.205,95;10.100,00;1,88;190,00
TERPEL    ;18/01/2022 00:00:00;280.895,00;2.993.579.660,00;10.970,00;11.000,00;10.657,29;10.300,00;6,61;680,00
TERPEL    ;19/01/2022 00:00:00;145.187,00;1.606.087.370,00;11.290,00;11.300,00;11.062,20;10.960,00;2,92;320,00
TERPEL    ;20/01/2022 00:00:00;88.623,00;988.462.380,00;11.000,00;11.300,00;11.153,56;11.000,00;-2,57;-290,00
TERPEL    ;21/01/2022 00:00:00;32.126,00;356.009.160,00;11.120,00;11.200,00;11.081,65;11.010,00;1,09;120,00
TERPEL    ;24/01/2022 00:00:00;24.067,00;263.184.490,00;10.900,00;11.000,00;10.935,49;10.900,00;-1,98;-220,00
