Nemotecnico;fecha;Cantidad;Volumen;Precio Cierre;Precio Mayor;Precio Medio;Precio Menor;Variacion%;Variacion Absoluta
VILLAS    ;03/01/2022 00:00:00;,00;,00;4.500,00;,00;,00;,00;,00;,00
VILLAS    ;04/01/2022 00:00:00;10.830,00;48.735.000,00;4.500,00;4.500,00;4.500,00;4.500,00;,00;,00
VILLAS    ;05/01/2022 00:00:00;19.931,00;89.698.360,00;4.500,00;4.500,00;4.500,44;4.500,00;,00;,00
VILLAS    ;06/01/2022 00:00:00;,00;,00;4.500,00;,00;,00;,00;,00;,00
VILLAS    ;07/01/2022 00:00:00;,00;,00;4.500,00;,00;,00;,00;,00;,00
VILLAS    ;11/01/2022 00:00:00;,00;,00;4.500,00;,00;,00;,00;,00;,00
VILLAS    ;12/01/2022 00:00:00;741,00;3.334.500,00;4.500,00;,00;4.500,00;,00;,00;,00
VILLAS    ;13/01/2022 00:00:00;10.420,00;47.002.880,00;4.500,00;4.501,00;4.510,83;4.500,00;,00;,00
VILLAS    ;14/01/2022 00:00:00;4.100,00;18.450.000,00;4.500,00;4.500,00;4.500,00;4.500,00;,00;,00
VILLAS    ;17/01/2022 00:00:00;35.890,00;163.020.000,00;4.600,00;4.600,00;4.542,21;4.500,00;2,22;100,00
VILLAS    ;18/01/2022 00:00:00;39.851,00;193.408.870,00;4.865,00;5.000,00;4.853,30;4.700,00;5,76;265,00
VILLAS    ;19/01/2022 00:00:00;13.224,00;65.818.865,00;4.995,00;4.995,00;4.977,23;4.990,00;2,67;130,00
VILLAS    ;20/01/2022 00:00:00;5.177,00;25.732.485,00;4.995,00;4.995,00;4.970,54;4.995,00;,00;,00
VILLAS    ;21/01/2022 00:00:00;,00;,00;4.995,00;,00;,00;,00;,00;,00
VILLAS    ;24/01/2022 00:00:00;5.616,00;27.273.310,00;4.890,00;4.890,00;4.856,36;4.890,00;-2,10;-105,00
VILLAS    ;25/01/2022 00:00:00;,00;,00;4.890,00;,00;,00;,00;,00;,00
VILLAS    ;26/01/2022 00:00:00;13,00;62.790,00;4.890,00;,00;4.830,00;,00;,00;,00
VILLAS    ;27/01/2022 00:00:00;,00;,00;4.890,00;,00;,00;,00;,00;,00
VILLAS    ;28/01/2022 00:00:00;,00;,00;4.890,00;,00;,00;,00;,00;,00
VILLAS    ;31/01/2022 00:00:00;245,00;1.211.525,00;4.890,00;,00;4.945,00;,00;,00;,00
VILLAS    ;01/02/2022 00:00:00;826,00;4.097.040,00;4.890,00;,00;4.960,10;,00;,00;,00
VILLAS    ;02/02/2022 00:00:00;81.464,00;407.207.110,00;5.000,00;5.000,00;4.998,61;4.985,00;2,25;110,00
VILLAS    ;03/02/2022 00:00:00;1.998,00;9.590.400,00;4.800,00;4.800,00;4.800,00;4.800,00;-4,00;-200,00
VILLAS    ;04/02/2022 00:00:00;,00;,00;4.800,00;,00;,00;,00;,00;,00
VILLAS    ;07/02/2022 00:00:00;2.231,00;10.719.120,00;4.800,00;,00;4.804,63;,00;,00;,00
VILLAS    ;08/02/2022 00:00:00;7.220,00;34.689.000,00;4.800,00;4.800,00;4.804,57;4.800,00;,00;,00
VILLAS    ;09/02/2022 00:00:00;,00;,00;4.800,00;,00;,00;,00;,00;,00
VILLAS    ;10/02/2022 00:00:00;13.773,00;66.354.180,00;4.700,00;4.900,00;4.817,70;4.700,00;-2,08;-100,00
VILLAS    ;11/02/2022 00:00:00;,00;,00;4.700,00;,00;,00;,00;,00;,00
VILLAS    ;14/02/2022 00:00:00;4.000,00;19.970.000,00;4.990,00;4.990,00;4.992,50;4.990,00;6,17;290,00
VILLAS    ;15/02/2022 00:00:00;6.199,00;29.477.700,00;4.720,00;4.800,00;4.755,23;4.720,00;-5,41;-270,00
